sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"That’s why we co-founded The Climate Pledge, a goal to be net-zero carbon by 2040—10 years ahead of the Paris Agreement.",9,Innovating Our Products and Services > Driving Climate Solutions Carbon,target,firm,2040,2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
"That’s exactly how we approach our carbon-emissions reduction: by making a big bet to reach net-zero carbon 10 years ahead of the Paris Agreement, then inventing new approaches across our business that will help us get there—all while maintaining the speed, convenience, and reliability that customers expect from Amazon.",10,Our Approach,attribute,firm,10,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We are investing in breakthrough technology, including promising early-stage decarbonization technology that we back through our $2 billion Climate Pledge Fund.",10,Our Approach,target,firm,2 billion,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we were joined by 111 new signatories, including Hewlett Packard Enterprise, Maersk, SAP, and PwC. They join a community of signatories totaling more than 390 at the end of 2022, all committed to reaching net-zero carbon by 2040, which will have a significant positive impact on the planet.",10,Our Approach,target,firm,"2022,",2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
We are committed to reaching net-zero carbon emissions in the next 17 years.,11,Our Approach for Net-Zero Carbon Emissions by 2040,attribute,firm,17,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Note † Scope 2 and 3 carbon emissions are calculated using a market-based method.,11,Net-Zero Carbon Emissions,other,,2,,,Scope 2,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, our absolute carbon emissions decreased by 0.4%, even as our year-over-year net sales grew 9%.",12,Amazon’s Carbon Footprint,achievement,achievement,0.4%,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"In fact, in 2022, we announced that we grew our renewable energy capacity by 8 gigawatts, which was a record for the most announced by a company in a single year and made us the world’s largest corporate purchaser of renewable energy for the third year in a row.",12,Amazon’s Carbon Footprint,achievement,achievement,"2022,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"Our carbon intensity decreased by 7% from 2021 to 2022, and by 24% since 2019.",12,Amazon’s Carbon Footprint,achievement,achievement,7%,2021,,,0.67,data/raw/amazon/2022_sustainability_report.pdf
Carbon intensity measures grams of carbon dioxide equivalent (CO2e) per dollar of gross merchandise sales (GMS).,12,Amazon’s Carbon Footprint,other,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Direct emissions, such as the fuel used by our delivery fleet, are counted in Scope 1 emissions and make up just under one-fifth of our total emissions.",12,Decarbonizing Delivery and Logistics,other,,1,,,Scope 1,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, Scope 1 emissions grew by 11% year-overyear.",12,Decarbonizing Delivery and Logistics,other,,11%,,,Scope 1,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In fact, since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average and avoided more than 2 million tons of packaging material.",12,Decarbonizing Delivery and Logistics,achievement,achievement,41%,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"The trucks can weigh up to 40 metric tons, so the transition relies on the rollout of largescale charging infrastructure, which also often requires the overhaul of local electricity grids.",12,Decarbonizing Delivery and Logistics,other,,40 metric tons,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We already have more than 15,000 hydrogen-powered forklifts operating at more than 70 fulfillment centers in North America, and in 2022, we signed a deal for enough green hydrogen (which is generated by renewable or low-carbon power) to fuel 40,000 forklifts annually by 2025.",12,Decarbonizing Delivery and Logistics,target,,"15,000",,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"This is because the net-zero technologies required to move large volumes of goods over long distances by sea and air do not yet exist at scale, nor do the supporting infrastructure or accounting frameworks.",12,Decarbonizing Delivery and Logistics > Learn more about our carbon methodology,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Already, policymakers are encouraging the infrastructure transformation needed to support a new generation of net-zero transportation through measures like the Bipartisan Infrastructure Law and Inflation Reduction Act in the U.S., and the European Commission’s Green Deal Industrial Plan, which incentivize investment in clean energy.",13,Decarbonizing Delivery and Logistics > Driving Climate Solutions Carbon,attribute,hedged,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"We are proud that our investments in renewable energy, used to power our operations, have resulted in a 29% drop in carbon emissions from purchased electricity (Scope 2).",13,Investing in Renewables,other,,29%,,,Scope 2; own operations,1.0,data/raw/amazon/2022_sustainability_report.pdf
This now accounts for less than 5% of our total reported carbon footprint.,13,Investing in Renewables,other,,5%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, 90% of electricity consumed by Amazon was attributable to renewable energy sources, and we remain on a path to reach 100% by 2025.",13,Investing in Renewables,target,achievement,90%,,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We grew our total number of renewable projects to 401 in 22 countries, with a capacity of more than 20 GW.",13,Investing in Renewables,other,,401,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Additionally, in 2022, The Climate Pledge Fund invested in Electric Hydrogen and Sunfire, two promising U.S.- and Europe-based developers of electrolyzers, which convert water into green hydrogen—an energy source that can be stored for future use.",13,Investing in Renewables,target,firm,"2022,",,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
Activities that take place beyond our direct operations are reflected in our Scope 3 emissions.,13,Reducing Our Scope 3 Emissions,other,,3,,,Scope 3,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, Scope 3 emissions went down by 0.7%, despite our year-over-year growth.",13,Reducing Our Scope 3 Emissions,other,,0.7%,,,Scope 3,1.0,data/raw/amazon/2022_sustainability_report.pdf
"We saw a decrease in Scope 3 emissions from building construction, leased buildings and equipment, and third-party transportation (as more goods were shipped by Amazon’s own logistics providers versus third-party providers).",13,Reducing Our Scope 3 Emissions,achievement,achievement,3,,,Scope 3,0.67,data/raw/amazon/2022_sustainability_report.pdf
"Given our success as the world’s largest corporate purchaser of renewable energy, we will seek to help select suppliers transition to carbon-free electricity.",13,Reducing Our Scope 3 Emissions,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"We support and fund industry partnerships to gather more accurate data, including the Embodied Carbon in Construction Calculator (EC3), which helps measure embodied carbon in buildings, and the Smart Freight Centre’s Global Logistics Emissions Council (GLEC) Framework, a globally recognized methodology for measuring freight transportation emissions.",13,Reducing Our Scope 3 Emissions,other,hedged,,,,global,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We remain focused on reaching net-zero carbon by 2040, a focus we have maintained since we first announced The Climate Pledge in 2019.",13,The Road to 2040,target,firm,"2040,",2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
Turbines generate clean electricity at a utility-scale Amazon wind farm.,13,The Road to 2040,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
The Climate Pledge is a commitment to reach net-zero carbon emissions by 2040.,14,The Climate Pledge,target,firm,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Amazon co-founded The Climate Pledge with Global Optimism in 2019 and became the first company to sign on.,14,The Climate Pledge,target,firm,2019,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"While each company will take its own path to net zero, signing The Climate Pledge reinforces their commitment to sustainability.",14,The Climate Pledge,target,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022 alone, 111 companies signed The Climate Pledge.",14,Employees $3.68T,target,firm,2022,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
The Climate Pledge Fund is a $2 billion venture investment program supporting the advancement of sustainable technologies and services that will enable Amazon to meet our net-zero carbon goal.,14,The Climate Pledge Fund,target,firm,2 billion,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, The Climate Pledge Fund continued its mission to support companies working on promising decarbonization solutions.",14,The Climate Pledge Fund,target,firm,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We made new investments in seven companies: Electric Hydrogen, Sunfire, and Verne, which are developing green hydrogen production and storage methods;2 Moxion Power and Ambient Photonics, which are advancing cleaner energy storage; and Brimstone and Electra, which are working to decarbonize construction.",14,The Climate Pledge Fund,attribute,,2,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, Amazon became a founding member of the Climate Resolute Coalition, a multistakeholder organization focused on advancing women’s economic empowerment and climate solutions in global supply chains.",14,Equitably Scaling Climate Tech Solutions,other,,"2022,",,,supply chain,1.0,data/raw/amazon/2022_sustainability_report.pdf
"Where possible, we use lightweight packaging by prioritizing flexible paper bags and envelopes, which are up to 90% lighter than similar-sized, rigid corrugate boxes.",15,Amazon’s Delivery and Logistics Network,other,,90%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"During 2022, in North America and Europe, we increased our total rail load volume; we continue to grow it at an accelerated rate, which will help meet our netzero-carbon goals.",16,Inbound Transportation,other,firm,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"To help address this challenge, we are experimenting with lower-carbon options, such as trucks powered by renewable natural gas (RNG),6 battery-electric trucks, and hydrogen-powered trucks.",16,Middle Mile,other,,6,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We are also investing in future solutions, like green steel7 for manufacturing vehicles, as well as renewably generated green hydrogen.",16,Middle Mile,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"This partnership will supply Amazon with 10,950 tons of green hydrogen per year—enough to power 40,000 forklifts annually—for transportation and building operations, starting in 2025.",16,Middle Mile,attribute,firm,"10,950",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we announced plans to invest over €1 billion to double our European zero-emissions fleet for middle and last mile deliveries over the next five years.",16,Last Mile,attribute,,1 billion,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we continued to support the Smart Freight Centre, with a focus on identifying and building partnerships that can accelerate transportation decarbonization.",17,Partnering for Decarbonized Transportation,other,hedged,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Amazon is also playing an active role in several industry initiatives and government partnerships, including the coZEV network, the First Movers Coalition, and the Clean Energy Demand Initiative.",17,Partnering for Decarbonized Transportation,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"However, SAF represents less than 0.1% of global aviation fuel, because it is still cost prohibitive for most companies.8 During the 2022 United Nations Climate Change Conference (COP27), SABA announced a digital SAF certificate registry that aims to increase transparency for emissions-reduction claims and accelerate SAF deployment.",17,Partnering for Decarbonized Transportation,other,hedged,0.1%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In early 2023, we co-founded the Zero Emission Maritime Buyers Alliance (ZEMBA) together with the Aspen Institute, Patagonia, and Tchibo.",17,Partnering for Decarbonized Transportation,attribute,,"2023,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Through ZEMBA, freight buyers will accelerate commercial deployment of zero-emission shipping, enable economies of scale, and minimize maritime emissions, helping to get zero-emission ships on the water by the mid-2020s.",17,Partnering for Decarbonized Transportation,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In December 2022, we co-founded SFBA, a group committed to decarbonizing freight operations.",17,Partnering for Decarbonized Transportation,other,firm,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2023, we plan to expand EBMS implementation across our global facilities to help further reduce emissions.",17,Building Construction and Operations,other,hedged,"2023,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, our Global Real Estate and Facilities team made progress in establishing foundational practices for building and maintaining sustainable buildings.",17,Corporate Offices,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We also gathered crucial data to inform building-specific carbon-reduction roadmaps and 2023 energy-reduction projects.,17,Corporate Offices,other,,2023,2023,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"By May 2022, Whole Foods Market improved energy efficiency performance by 21% from a 2010 baseline, achieving the U.S. Department of Energy Better Buildings Challenge goal two years ahead of schedule.",18,Physical Stores > Driving Climate Solutions Carbon,target,hedged,21%,2010,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Amazon Fresh stores in the U.S. and EU also made strides on energy efficiency throughout 2022, using efficient lighting as standard in all buildings and expanding the use of doors on instore refrigerated cases.",18,Physical Stores > Driving Climate Solutions Carbon,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We look to address our largest remaining source of buildings emissions—embodied carbon,10 primarily in the concrete and steel used in construction.",18,Physical Stores > Addressing Hard-to-Abate Carbon Emissions,other,,10,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We use the Embodied Carbon in Construction Calculator (EC3) tool to track embodied carbon in our building projects.,18,Physical Stores > Addressing Hard-to-Abate Carbon Emissions,other,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we tracked embodied carbon from more than 400 building projects through EC3.",18,Physical Stores > Addressing Hard-to-Abate Carbon Emissions,other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, we partnered with various organizations to improve embodied carbon reporting.",18,Physical Stores > Addressing Hard-to-Abate Carbon Emissions,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We launched a program to find and validate transformational technologies as lower-cost alternatives to carbon credits11 in the most difficult-to-abate areas of our building portfolio.,18,Physical Stores > Addressing Hard-to-Abate Carbon Emissions,other,achievement,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
Our efforts to reduce Scope 1 and Scope 2 emissions begin with increasing data collection across all business areas.,18,"Fulfillment, Logistics, and Distribution Centers",other,,1,,,Scope 1; Scope 2,1.0,data/raw/amazon/2022_sustainability_report.pdf
"As of the end of 2022, 237 Amazon facilities have on-site solar.",18,"Fulfillment, Logistics, and Distribution Centers",other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Through lighting retrofits, we have saved 1 billion kilowatt-hours (kWh) of energy and avoided 709,000 metric tons of CO2e over the last seven years.",18,"Fulfillment, Logistics, and Distribution Centers > Learn more about our renewable energy progress",achievement,achievement,1 billion,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"The building is solar-ready and designed to have a rooftop solar array that can potentially generate as much as 80% of the facility’s annual electricity needs, with the remaining balance to be supported by Amazon’s off-site renewable energy projects.",19,"Fulfillment, Logistics, and Distribution Centers > Making History with the World’s First ILFI Zero Carbon Certified Fulfillment Center",other,,80%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"With millions of users globally, Amazon Web Services (AWS) is the world’s most comprehensive, broadly adopted cloud offering.12 To continue delivering optimal service while building a more sustainable business, AWS is designing data centers— including our servers and hardware—for efficiency, resiliency, and a lower carbon footprint.",19,Amazon Web Services,other,,,,,global,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Our third-generation Arm-based chip, AWS Graviton3, is more energy-efficient, as Graviton3-based Elastic Compute Cloud instances use up to 60% less energy for the same performance than comparable Amazon EC2 instances.",19,Amazon Web Services,other,,60%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"This, in turn, means building new models requires less money and power, with potential cost savings of up to 62% and energy-consumption reductions of up to 29%, versus comparable instances.",19,Amazon Web Services,other,,62%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Our Inferentia machine learning chip is up to 54% more energy-efficient and can reduce costs by up to 90% against comparable instances.,19,Amazon Web Services,other,,54%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
The concrete mix reduces carbon emissions by nearly 40% compared to standard concrete.,20,Amazon Web Services > Driving Climate Solutions Carbon,other,,40%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Globally in 2022, we completed the construction of 16 data centers using lower-carbon concrete and 10 data centers using lower-carbon steel.",20,Amazon Web Services > Driving Climate Solutions Carbon,achievement,achievement,"2022,",,,global,0.67,data/raw/amazon/2022_sustainability_report.pdf
"The Intergovernmental Panel on Climate Change (IPCC) has made clear that significant carbon emissions from several sectors of the economy will not be fully abated by 2050.14 Even with aggressive decarbonization efforts, many companies will need to neutralize some GHG emissions that cannot be eliminated to achieve net-zero carbon.",20,Carbon Neutralization,target,firm,2050.14,,2050,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Carbon neutralization represents an opportunity for us to help reduce emissions and stabilize our changing climate.,20,Carbon Neutralization,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2021, Amazon helped create the Lowering Emissions by Accelerating Forest finance (LEAF) Coalition, which has mobilized over $1 billion in corporate and government finance to protect tropical rainforests around the world.",20,Protecting the World’s Tropical Rainforests,other,,1 billion,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, during COP27, four Brazilian states signed Letters of Intent to participate in the Coalition, bringing participating tropical forest jurisdictions to nine.",20,Protecting the World’s Tropical Rainforests,other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we also advanced development of technological tools, scientific knowledge, and business models to support reforestation and sustainable agroforestry at scale.",20,Restoring Degraded Landscapes,other,hedged,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"With support from Amazon, Conservation International launched the International Blue Carbon Institute at COP27.",20,Restoring Degraded Landscapes,other,hedged,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"This includes policies that advance zero-emission fuels, scale clean energy, modernize the grid, and invest in new technologies needed across multiple industries.",21,Decarbonizing Through Policy,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"To meet our net-zero carbon goal, we engage suppliers in our global product and device supply chains to set goals that support decarbonizing their own operations and work with them on initiatives to reduce their GHG emissions.",21,Engaging Suppliers that Make Amazon Products,target,hedged,,,,own operations; supply chain,0.25,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we received commitments from 28 suppliers to work with us on decarbonization.",21,Engaging Suppliers that Make Amazon Products,other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We will also use our scale, investment, and innovation to date to provide our suppliers with products and tools that will help them reach their goals—whether that’s transitioning to renewable energy or having more access to sustainable materials.",21,Engaging Suppliers that Make Amazon Products,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Reaching net-zero carbon emissions by 2040 won’t be easy, and we know we can only get there with significant collaboration.",21,Looking Forward,target,,2040,2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
"With 401 renewable energy projects representing over 20 gigawatts (GW) of clean energy capacity announced as of January 2023, Amazon is the world’s largest corporate purchaser of renewable energy for the third year in a row.",22,Renewable Energy,attribute,,401,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We are also on a path to powering our operations with 100% renewable energy by 2025—five years ahead of our original 2030 target—and we are asking our suppliers to switch to renewable energy as well.,22,Renewable Energy,target,,100%,,2025,own operations,0.75,data/raw/amazon/2022_sustainability_report.pdf
"To reach this target, we want 100% of the electricity that we use to be attributable to renewable energy sources.",22,Renewable Energy,other,,100%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"To achieve our renewable energy goal, we aim for 100% of the electricity we use to be attributable to renewable electricity sources.",23,Our Approach,target,hedged,100%,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
We contract renewable power from utility-scale wind and solar projects that add clean energy to the grid.,23,Our Approach,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, 90% of electricity consumed by Amazon was attributable to renewable energy sources, up from 85% in 2021.",23,Scaling Renewable Energy,achievement,achievement,90%,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"We grew our renewables portfolio to over 20 GW of clean energy capacity, a 67% increase from our global 2021 portfolio of just over 12 GW.",23,Scaling Renewable Energy,attribute,,67%,2021,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Once operational, these contracted renewable energy projects will account for 56,881 gigawatt-hours (GWh) of Amazon’s electricity use, enough to power 5.3 million U.S. homes annually.",23,Scaling Renewable Energy,other,firm,5.3 million,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"As a part of our broader commitment to power our operations with 100% renewable energy, we continue to scale up our use of renewable electricity within AWS.",23,Scaling Renewable Energy,other,firm,100%,,,own operations,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, three new on-site rooftop solar projects became operational at Japanese fulfillment centers, increasing the number of facilities with on-site solar in Japan to six.",23,On-Site Solar Projects,other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In October 2022, we opened our first stand-alone Australian sort center in Melbourne, which features 3,078 on-site solar panels with capacity to meet up to 80% of the site’s electricity needs.",23,On-Site Solar Projects,other,,80%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"During 2022, we announced 133 new renewable energy projects that are expected to come online over the next five years, bringing our total announced projects to 401 as of January 2023.",23,Utility-Scale Projects,other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Newly announced Indian solar projects—which bring our total number of utility-scale renewable projects in India to six— are expected to have capacity of 920 MW once operational.,23,Utility-Scale Projects,other,,920,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"As of the end of 2022, Amazon’s largest operational renewable energy project was in Alberta, Canada.",23,Utility-Scale Projects > Did You Know?,achievement,achievement,"2022,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"Five projects in Europe—two solar farms in Spain and Italy and three wind farms in Sweden and the UK—went live and together are expected to generate 1,980,000 MWh annually.",24,Newly Operational and Announced Projects,other,,"1,980,000 MWh",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Two projects in China, one wind farm and one solar farm, also launched and are expected to produce 450,500 MWh annually.",24,Newly Operational and Announced Projects,achievement,achievement,"450,500 MWh",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
We invest in energy storage to collect and save clean energy for use when renewable energy sources are unavailable—such as at night or during periods of high demand—and to provide grid stability.,24,Energy Storage Solutions,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"During 2022, we launched solar projects paired with battery storage capabilities in Arizona and California.",24,Energy Storage Solutions,achievement,achievement,"2022,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"Together, the projects deliver 450 MW of energy, alongside 225 MW of battery storage.",24,Energy Storage Solutions,other,,450,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We are looking to increasingly pair renewable generators with storage to provide near 24/7 carbon-free electricity on grids with significant solar.,24,Energy Storage Solutions,attribute,,24,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"As the world’s largest corporate renewable energy purchaser, we have a unique role to play in supporting a just, equitable, and sustainable clean energy transition.",24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In May 2022, Amazon became a founding member of Beyond the Megawatt—an initiative by the Clean Energy Buyers Institute (CEBI) to maximize the environmental and social benefits of the clean energy transition.",24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,hedged,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
The development of industrywide procurement standards to promote social impact and human rights within clean energy buying is critical to this partnership.,24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
A global clean energy transition will also require increased supplies of minerals that power more-sustainable technologies.,24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In November 2022, Amazon partnered with USAID, the BHP Foundation, and the Chandler Foundation to deliver the Powering a Just Energy Transition Green Minerals Challenge (JET Minerals Challenge).",24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,other,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, we expanded AWS’ machine learning solution, renewable energy optimization (REO), to improve the performance of our renewable portfolio.",25,Energy Optimization,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
REO prioritizes delivery of clean energy where it’s needed most.,25,Energy Optimization,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"By 2025, we expect technologies like this could deliver additional clean energy equivalent to a 200-MW wind farm when deployed across Amazon’s portfolio.",25,Energy Optimization,target,hedged,"2025,",,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We also set a goal to invest in wind and solar farm capacity equal to the energy used by all Echo, Fire TV, and Ring devices worldwide by 2025.",25,Energy Optimization for Amazon Devices,target,,,,2025,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"At the end of 2022, we contracted enough renewable energy capacity through new wind and solar farms to equal the expected energy use of devices globally in 2025.",25,Energy Optimization for Amazon Devices,other,,"2022,",,,global,1.0,data/raw/amazon/2022_sustainability_report.pdf
