sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"Our combined Scope 1 and 2 emissions, covered by this aim were 33.6MtCO2e – a decrease of 38% from our 2019 baseline.",20,Our progress and actions on Scope 1 and 2 emissions in 2024,other,hedged,33.6MtCO2e,2019,,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
The total reduction includes 18MtCO2e attributable to divestments and 5.4MtCO2e in emissions reduction activities.,20,Our progress and actions on Scope 1 and 2 emissions in 2024,other,,18MtCO2e,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Compared with 2023 (32.1MtCO2e), Scope 1 and 2 emissions increased in 2024 due to growth in our portfolio, project start ups and operational issues at Tangguh, Indonesia.",20,Our progress and actions on Scope 1 and 2 emissions in 2024,other,,32.1MtCO2e,2023,,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
In 2024 our Scope 1 (direct) emissions were 32.8MtCO2e – an overall increase from 31.1MtCO2e in 2023.,20,Our progress and actions on Scope 1 and 2 emissions in 2024,other,,32.8MtCO2e,,,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Of these Scope 1 emissions, 31.4MtCO2e were carbon dioxide and 1.5MtCO2e were from methaned.",20,Our progress and actions on Scope 1 and 2 emissions in 2024,other,,31.4MtCO2e,,,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Any opportunities identified are screened through existing business processes and plans that support our net zero ambition.,21,"Our progress and actions on Scope 1 and 2 emissions in 2024 > Scope 1 (direct) and Scope 2 (indirect) GHG emissions (operational control boundary)c,d,e",target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"The carbon capture component of the project aims to sequester up to 15 million tonnes of CO2 in its initial phase and potentially more in future, given the large CO2 storage capacity of the area.",21,"Our progress and actions on Scope 1 and 2 emissions in 2024 > Emission reduction projects implemented by our businesses in 2024 totalled 0.42MtCO2e, including:",other,hedged,15 million,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Our aggregate bp equity share Scope 1 and 2 emissions increased by 0.1MtCO2e in 2024.,21,"Our progress and actions on Scope 1 and 2 emissions in 2024 > Emission reduction projects implemented by our businesses in 2024 totalled 0.42MtCO2e, including:",other,,0.1MtCO2e,,,Scope 1,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"We remain on track to reach zero routine flaring by 2030 in line with our aim under the World Bank’s Zero Routine Flaring Initiative. bpx energy has achieved zero routine flaring, ahead of its 2025 goal.",21,Our progress and actions on methane emissions,target,hedged,,,2030,,0.25,data/raw/bp/2024_sustainability_report.pdf,False,False
We are targeting a reduction in intensity of 5% by the end of 2025 and aiming for an 8-10% reduction by the end of 2030 compared to our 2019 baseline.,23,Our aim for net zero sales,target,hedged,5%,2019,2025,,0.75,data/raw/bp/2024_sustainability_report.pdf,False,False
Further details of our net zero sales methodology are described in the bp Basis of Reporting 2024.,23,Our aim for net zero sales > Methodology update,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"This represents a 6%d reduction from our 2019 baseline, driven by improvements in the well-to-tank emissions of sold products and changes in the sold product mix, which have included strategic investment activities such as the addition of significant retail power volumes as a result of the EDF Energy Services acquisition in 2022 in the US.",23,Our aim for net zero sales > Our progress and actions on our net zero sales aim in 2024,other,,6%,2019,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Energy included under net zero sales for 2019 (our baseline year) has been restated to 7.9EJ and the associated lifecycle emissions to 671MtCO2e.,23,Our aim for net zero sales > Our progress and actions on our net zero sales aim in 2024,attribute,,671MtCO2e,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Examples of actions supporting delivery of our net zero sales aim Given that specific lower carbon activities drive a reduction in carbon intensity of sold energy products, the chart below shows an outlook of potential relative scale of contribution of several specific low carbon activities towards the 2030 aim compared to each other.",24,"Our aim for net zero sales > Average carbon intensity of sold energy productsa,c",attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
It is not intended to indicate actual impacts or contributions to delivery of the net zero sales aim.,24,"Our aim for net zero sales > Average carbon intensity of sold energy productsa,c",attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,True,False
Full value chain emissions for energy products Net zero sales is estimated on a lifecycle basis covering the full value chain of well-to-wheel or well-to-wire emissions associated with the energy products we sell.,24,"Our aim for net zero sales > Average carbon intensity of sold energy productsa,c",attribute,,,,,value chain,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Strategic progress Our net zero sales progress and reductions in the average carbon intensity of sold energy products are directly linked to the implementation of our strategy.,24,"Product lifecycle > Average carbon intensity of sold energy productsa,c",attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
In 2024 we were granted funding to help support the development of a green hydrogen project next to our Lingen refinery in Germany.,25,"Product lifecycle > Average carbon intensity of sold energy productsa,c",attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
The project is expected to install a 100MW electrolyser capacity capable of producing an average of 10-11kt of green hydrogen per year from 2027.,25,"Product lifecycle > Average carbon intensity of sold energy productsa,c",attribute,,10,2027,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"In working towards our net zero sales aim, we recognize that benefits arise over the longer term – for example, as offshore wind projects that we have invested in through this decade come into operation after 2030; or as utilization rates for EV charge points increase in future as EV uptake grows.",25,"Product lifecycle > Average carbon intensity of sold energy productsa,c",attribute,hedged,,2030,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our biogas operation, Archaea Energy, continued its growth throughout 2024.",25,Product lifecycle > Examples of our investment:,target,,,,2024,,0.25,data/raw/bp/2024_sustainability_report.pdf,False,False
"We reached the milestone of one terawatt-hour (TWh) of energy sold and we increased EV charge points to around 39,100 globally – an increase of 35% compared to 2023.",25,Product lifecycle > Examples of our investment:,achievement,achievement,35%,2023,,global,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"In September 2024 with our 50:50 joint venture partner Iberdrola, we took the final investment decision to develop a 25MW green hydrogen project that aims to support emissions reductions in our refinery operations in Castellón, Spain.",25,Product lifecycle > Examples of our investment:,attribute,hedged,50,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
The estimated Scope 3 emissions from the carbon in our upstream oil and gas production were 322MtCO2 in 2024 – an 11% reduction relative to our 2019 baseline and a slight increase from 315MtCO2 in 2023.,26,Product lifecycle > Carbon in our upstream oil and gas production,other,,11%,2019,,Scope 3; upstream,1.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Low carbon activity capital expenditure In 2024 low carbon activity investment, a subset of our total transition growth investment, accounted for 80% of our total investment.",26,Product lifecycle > Read more on page 23,other,,80%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"It increased from $2.5bn (67%) in 2023 to $3.0bn, reflecting higher investment in bioenergy, EV charging and wind businesses.",26,Product lifecycle > Read more on page 23,other,,67%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
We have retained our net zero ambition and long term GHG reduction aims – to achieve net zero across our operations and sales by 2050 or sooner – which means we intend to phase out expenditure in unabated carbon intensive assetsc and products by 2050 or sooner.,26,Product lifecycle > Read more on page 23,target,hedged,,,2050,own operations,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"The retirement of our aim 11, ‘more clean energy’, is in line with our strategy reset in February 2025.",29,In this section > Inclusive culture,attribute,hedged,"11,",,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"This is a joint venture with Aberdeen City Council to develop a green hydrogen production and distribution facility in the city, which will help stimulate skills development and new supply chains in the region.",29,In this section > Just transition,attribute,firm,,,,supply chain,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"For example, we are supporting Redcar & Cleveland College’s Clean Energy Technician scholarship programme – a bespoke two-year engineering course designed to give participants the skills needed for a career in low carbon energy, including those required to access apprenticeship opportunities.",30,In this section > Just transition,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"These are focused on a range of activities, including measures to use water more sustainably, provide access to clean water, restore biodiversity by working with local partners, and support decarbonization and access to clean energy.",33,Social investment in local communities > Supporting refugee employability,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our 20-year collaboration has successfully added more than 5,000 hectares of new or restored native woodland, enriching Scotland’s biodiversity.",33,Social investment in local communities > Supporting refugee employability,other,,"5,000 hectares",,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"Together with Equinor, Shell and TotalEnergies, in November 2024 we announced a commitment to jointly invest $500 million, aiming to help millions of people in under-served communities, in sub-Saharan Africa, South Asia and Southeast Asia, access electricity and improved cooking facilities.",33,Social investment in local communities > Improving access to clean energy,other,firm,500 million,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"They will support a range of renewable and clean energy solutions, including solar home systems, mini and metro electricity grids, clean cooking solutions and enabling technologies such as e-mobility, energy storage and management solutions.",33,Social investment in local communities > Improving access to clean energy,attribute,firm,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"We are actively monitoring the development of metrics, including the work of the Nature Positive Initiative, and will continue to review our approach to biodiversity metrics in the context of this and other initiatives and disclosure requirements.",36,In this section > Monitoring biodiversity and setting a baseline to measure progress,attribute,firm,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Progress towards water positive Our target is to be 20% towards water positive by the end of 2025.,37,In this section > Monitoring biodiversity and setting a baseline to measure progress,target,,20%,,2025,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
In 2024 we worked on the implementation of water stewardship initiatives that will help contribute to this target.,37,In this section > Monitoring biodiversity and setting a baseline to measure progress,target,firm,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Our water consumption in 2024 We saw a 15% fall in freshwater withdrawals (excluding once through cooling water) and a 17% fall in freshwater consumption, compared with our 2020 baselineb.",37,In this section > Monitoring biodiversity and setting a baseline to measure progress,other,,15%,2020,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"At our major operating sites, 11% (2023 73%) of our total freshwater withdrawals and 20% (2023 36%) of freshwater consumption, were from regions with high or extremely high water stress in 2024.",37,In this section > Monitoring biodiversity and setting a baseline to measure progress,other,,11%,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"The project has also reduced water costs to the community by 80%, helping to alleviate residents’ financial burdens and enhance their economic stability.",38,In this section > Improving access to clean water in Azerbaijan,achievement,achievement,80%,,,,0.33,data/raw/bp/2024_sustainability_report.pdf,False,False
"By the end of 2024 across Continental Europe, we offered recyclable coffee cups with less than 5% polyethylene content with plans to introduce further recyclable packaging, such as moulded fibre lids, in 2025. y Continued to reduce food waste through a partnership with Too Good To Go in Europe, with more than one million Too Good To Go magic bags sold across our retail network.",39,In this section > Embedding circularity across bp,target,,5%,,2024,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"This increase resulted from three main factors: the continuing growth of Archaea Energy, our renewable natural gas company in the US; our full ownership of bp bioenergy, which produces sugar and ethanol from sugar cane; and an increase in the amount of waste we convert to sustainable aviation fuel and hydrotreated vegetable oil.",39,In this section > Embedding circularity across bp,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"In Spain we signed a 10-year agreement with MIGASA for the supply of 40,000 tonnes annually of non-food industrial waste from vegetable oil, which can support production of bio-based fuels at our Castellón Refinery.",39,In this section > Embedding circularity across bp,other,hedged,"40,000 tonnes",,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Climate Action 100+ (CA100+) – We maintained our score in the 2024 CA100+ Net Zero Company Benchmark.,41,Investors $5bn total dividends distributed to bp shareholders,attribute,,100,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"We were assessed as ‘fully aligned’ against five metrics (net zero ambition by 2050, long-term emissions targets, capital allocation, climate governance and TCFD alignment) and ‘partially aligned’ on all other metrics.",41,Investors $5bn total dividends distributed to bp shareholders,target,hedged,"2050,",2050,2050,,0.75,data/raw/bp/2024_sustainability_report.pdf,False,False
"While we have retired our previous advocacy aima, our work in 2024 focused on several themes in support of our net zero ambition, including carbon pricing, and on policy frameworks that support growth in hydrogen, carbon capture and storage (CCS), renewables, decarbonizing transport (including EV charging) and bioenergy.",42,Government and regulators $10.6bn > Our advocacy work related to net zero in 2024,target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Environmental Defense Fund (EDF) – Under our memorandum of understanding with EDF, which runs until the end of 2025, we plan to work together to help drive the reduction of global methane emissions across the oil and gas value chain.",42,Government and regulators $10.6bn > Our advocacy work related to net zero in 2024,target,hedged,"2025,",,2025,value chain,0.75,data/raw/bp/2024_sustainability_report.pdf,False,False
"The OGDC aims for net zero operations by 2050, zero routine flaring and near-zero methane emissions by 2030.",43,Government and regulators $10.6bn > Oil and Gas Decarbonization Charter (OGDC),target,hedged,"2050,",,2050,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
"We also supported Newcastle University in its successful application for a grant from the Engineering and Physical Sciences Research Council, to investigate the efficacy of electromagnetic field technology as a potential non-invasive and environmentally friendly alternative to biocides for microbial control.",44,Partners and suppliers $146.6bn in payments to suppliers for goods and services > Read more about supplier diversity on page 29,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Climate-related benchmarks CA100+ In the latest Climate Action 100+ net zero company benchmarkc, published October 2024, our score was unchanged compared with 2023.",47,About our reporting > Transparency in our reportinga,attribute,,100,2023,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Energy products For the purposes of our 2024 disclosures relating to net zero sales we consider an energy product to be one that is emissive or provides energy in its end use case.,48,About our reporting > Our reporting centre,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
For further information on products included in bp’s 2024 net zero sales aim reporting see the Basis of Reporting.,48,About our reporting > Our reporting centre,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Green hydrogen Hydrogen produced by electrolysis of water using renewable power.,48,About our reporting > Our reporting centre,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Low carbon activity For the purposes of FY24 and FY23 reporting an activity relating to low carbon including: renewable electricity; bioenergy; electric vehicles and other future mobility solutions; trading and marketing low carbon products; blue or green hydrogen and carbon capture, use and storage (CCUS).",48,About our reporting > Our reporting centre,attribute,,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Net zero References to global net zero in the phrase, ‘to help the world get to net zero’, means achieving ‘...a balance between anthropogenic emissions by sources and removals by sinks of greenhouse gases...on the basis of equity, and in the context of sustainable development and efforts to eradicate poverty’, as set out in Article 4(1) of the Paris Agreement.",49,About our reporting > Our reporting centre,attribute,,4,,,,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
References to net zero for bp in the context of our ambition and net zero operations and net zero sales aims mean achieving a balance between (a) the relevant Scope 1 and 2 emissions (for net zero operations) and product lifecycle emissions (for net zero sales) and (b) the aggregate of applicable deductions from qualifying activities such as sinks under our methodology at the applicable time.,49,About our reporting > Our reporting centre,target,hedged,,,,Scope 1,0.25,data/raw/bp/2024_sustainability_report.pdf,False,False
"Net zero operations bp’s aim to reach net zero operational greenhouse gas (CO2 and methane) emissions by 2050 or sooner, on a gross operational control basis, in accordance with bp’s net zero operations aim, which relates to our reported Scope 1 and 2 emissions.",49,About our reporting > Our reporting centre,target,hedged,,,2050,Scope 1,0.5,data/raw/bp/2024_sustainability_report.pdf,False,False
Any interim target or aim in respect of bp’s net zero operations aim is defined in terms of absolute reductions relative to the baseline year of 2019.,49,About our reporting > Our reporting centre,target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Net zero sales bp’s aim to reach net zero for the carbon intensity of sold energy products.,49,About our reporting > Our reporting centre,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
Any interim target or aim in respect of bp’s net zero sales aim is defined in terms of reductions in the carbon intensity of the energy products we sell (in grams CO2e/MJ) relative to the baseline year of 2019.,49,About our reporting > Our reporting centre,target,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
"Sold energy products For the purposes of bp’s net zero sales aim, sold energy products represent sales by a bp group subsidiary, joint operation or bp equity accounted entity (EAE).",49,About our reporting > Our reporting centre,attribute,hedged,,,,,0.0,data/raw/bp/2024_sustainability_report.pdf,False,False
