sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"We contracted for replenishment projects that are estimated to provide more than 15.6 million m cubed in volumetric water benefits, increasing our running total of replenishment projects to 35 million m cubed .",5,"Enabling sustainability for our company, our customers, and the world > Water positive",other,,15.6 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
We increased our reuse and recycle rates of all cloud hardware to 82 percent and continue to pace toward our 2030 reuse and recycle goal of 90 percent.,5,"Enabling sustainability for our company, our customers, and the world > Zero waste",other,,82 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
We also reduced single-use plastics across all Microsoft product packaging to 3.3 percent and are on track to eliminate their use by 2025.,5,"Enabling sustainability for our company, our customers, and the world > Zero waste",target,achievement,3.3 percent,,2025,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In total, we have diverted 12,159 metric tons of solid waste from landfills.",5,"Enabling sustainability for our company, our customers, and the world > Zero waste",other,,"12,159 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"While Microsoft’s emissions footprint is a tiny percentage of global emissions, we also have a role to play in helping reduce or remove the other 99.97 percent of global emissions.",5,"Enabling sustainability for our company, our customers, and the world > Amplifying our impact and helping our customers achieve more",other,,99.97 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"For example, the nations of Africa together account for less than 5 percent of global emissions but have experienced far more than their share of the negative impacts of climate change.",5,"Enabling sustainability for our company, our customers, and the world > Enabling and supporting a more sustainable world",other,,5 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We support public policy initiatives to accelerate carbon reporting, reduction and removal, the transition to clean energy, water access and stress reduction, and the ability to measure, manage, and protect ecosystems.",5,"Enabling sustainability for our company, our customers, and the world > Enabling and supporting a more sustainable world",attribute,hedged,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Carbon measurement and the Carbon Call In February 2022, Microsoft, ClimateWorks Foundation, and over 20 leading organizations launched an important new initiative called the Carbon Call.",5,"Enabling sustainability for our company, our customers, and the world > Enabling and supporting a more sustainable world",achievement,achievement,"2022,",,,,0.33,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Microsoft is investing in accelerating climate innovation through our $1 billion Climate Innovation Fund (CIF).,6,"Enabling sustainability for our company, our customers, and the world > Enabling and supporting a more sustainable world",other,,1 billion,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We invest in innovative technologies and business models that have the potential for meaningful, measurable climate impact by 2030.",6,"Enabling sustainability for our company, our customers, and the world > Enabling and supporting a more sustainable world",target,,,,2030,,0.25,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Since the founding of the CIF in 2020, Microsoft has allocated more than $600 million into a global portfolio of more than 50 investments, including sustainable solutions in energy, industrial, and natural systems.",6,"Enabling sustainability for our company, our customers, and the world > Enabling and supporting a more sustainable world",other,,600 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Since its inception, Microsoft has allocated over $600 million impact investment capital from our Climate Innovation Fund into a global portfolio of investments, featuring sustainable solutions in energy, industrial, and natural systems.",7,A decade of innovation and decisive action > >$600M in climate innovation,other,,600 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We contracted 1,443,981 metric tons of carbon removal in FY22.",7,Carbon 1.4Mmetric tons,other,,"1,443,981 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we contracted for replenishment projects that are estimated to provide more than 15.6 million m cubed in volumetric water benefit over the lifetime of these projects.",7,Water 15.6M m cubed 15.6M m cubed,other,,15.6 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we diverted 12,159 metric tons of solid waste from landfills and incinerators across our direct operational footprint.",7,"Waste 12,159metric tons",other,,"12,159 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we signed new PPAs around the globe, bringing our total portfolio of carbon-free energy to over 13.5 GW, including projects in 16 countries and more than 135 clean energy projects.",7,"Ecosystems 12,270acres",attribute,,13.5,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By the end of FY22, we provided more than 550,000 people with access to clean water and sanitation solutions in Brazil, India, Indonesia, and Mexico and reached just under one million people by the end of the calendar year 2022.",7,"Ecosystems 12,270acres",achievement,achievement,"550,000",,,,0.33,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Our reuse and recycle rates of servers and components across all cloud hardware reached 82 percent in FY22.,7,"Ecosystems 12,270acres",achievement,achievement,82 percent,,,,0.33,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We reduced single-use plastics in our Microsoft product packaging by more than 29 percent, a decrease from 4.7 percent to 3.3 percent by weight (on average) of plastic per package in FY22.",7,"Ecosystems 12,270acres > Environmental justice",achievement,achievement,29 percent,,,,0.33,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Last year, we contributed to the TNC Belize Maya Forest Project (BMF) to protect an additional 236,000 acres in a global biodiversity hotspot.",7,"Ecosystems 12,270acres > Environmental justice",other,,"236,000 acres",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In 2019, Microsoft took a step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough.",8,How we work > Set commitments based on science,attribute,firm,"2019,",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,True,False
"The world needs to reach net zero by or before 2050, and achieving it relies heavily on private sector partnership and action.",8,How we work > Set commitments based on science,target,,"2050,",,2050,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030.",8,How we work > Set commitments based on science,target,,,,2030,,0.25,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy.",9,Global sustainability > Global sustainability Enabling a more sustainable world,attribute,firm,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In 2020, Microsoft made industry-leading commitments to be carbon negative, water positive, and zero waste by 2030, and to protect more land than we use by 2025.",10,Microsoft sustainability Taking care of our own environmental footprint,target,,"2020,",,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In January 2020, Microsoft committed to be carbon negative by 2030.",11,Our approach,target,firm,"2020,",2030,2030,,0.75,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Operationally, we see this commitment as a journey that starts with reducing carbon emissions as much as possible, replacing our electricity consumption with carbon-free energy, and removing the emissions that remain.",11,Our approach,attribute,firm,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, our business grew by 18 percent and our overall emissions were down 0.5 percent.",11,Our approach,other,,18 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Our total company emissions were just under 13 million metric tons of carbon dioxide equivalents (mtCO subscript 2 e) (marketbased and management-defined criteria for Scope 3 Category 11).,11,Our approach,other,,13 million,,,Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We saw a 0.5 percent increase in our Scope 3 emissions this year based on investments in real-time device telemetry-based measurement, improvements in our operations and supply chain, and purchases of renewable energy.",11,Our approach,other,,0.5 percent,,,Scope 3; own operations; supply chain,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"As the world transitions to a lower-carbon, clean energy economy, we’re using our purchasing and investing power to help advance innovation and the development of new solutions—helping us meet our own commitments while catalyzing the creation of broader market supply for others.",11,Our approach,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We fund purchases of renewable energy, sustainable aviation fuel, and carbon removal through our internal carbon fee, which we established in 2012.",11,Our approach,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Our year-over-year figures show a 23 percent reduction in Scope 1 and 2 market-based emissions, which is driven in part by our procurement of RECs for FY22.",11,Our approach,other,,23 percent,,,Scope 1,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we signed new power purchase agreements around the globe, bringing our total portfolio of carbon-free energy to over 13.5 GW.",11,Our approach,attribute,,13.5,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
We are committed to being carbon negative by 2030 and by 2050 remove from the atmosphere an equivalent amount of all the carbon dioxide our company has emitted either directly or by our electricity consumption since we were founded in 1975.,12,Carbon negative by 2030,target,firm,,2030,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We will reduce our Scope 1 and 2 emissions to near zero by increasing energy efficiency, decarbonization, and reaching 100 percent renewable energy by 2025.",12,Carbon negative by 2030 > Reducing direct emissions,target,firm,100 percent,,2025,Scope 1,0.75,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By 2030, we will reduce our Scope 3 emissions by more than half from a 2020 baseline.",12,Carbon negative by 2030 > Reducing value chain emissions,target,firm,"2030,",2020,2030,Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By 2030, 100 percent of our electricity consumption will be matched by zero carbon energy purchases 100 percent of the time.",12,Carbon negative by 2030 > Replacing with 100/100/0 carbon-free energy,target,firm,100 percent,,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By 2030, Microsoft will remove more carbon than it emits.",12,Carbon negative by 2030 > Removing the rest of our emissions,target,firm,"2030,",,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By 2050, we will remove an amount of carbon equivalent to all our historical emissions.",12,Carbon negative by 2030 > Removing the rest of our emissions,target,firm,"2050,",,2050,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Net zero Scope 1 and 2 emissions Our Scope 1 and 21 emissions remained proportional with business growth in FY22.2 More than 95 percent of our Scope 2 emissions were reduced by renewable energy from power purchase agreements (PPAs), green tariff programs, and unbundled renewable energy certificates.",12,Carbon negative by 2030 > Our progress,achievement,achievement,95 percent,,,Scope 1; Scope 2,0.67,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Our value chain or Scope 3 emissions increased slightly at 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth.",12,Carbon negative by 2030 > Scope 3 emissions increased by 0.5 percent,other,,0.5 percent,,,Scope 3; value chain,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"13.5 GW of carbon-free energy In FY22, we signed new Power Purchase Agreements (PPAs) around the globe, bringing our total portfolio of carbon-free energy to over 13.5 GW, including more than 135 projects in 16 countries.",12,Carbon negative by 2030 > Scope 3 emissions increased by 0.5 percent,attribute,,13.5,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We contracted 1,443,981 metric tons of carbon removal in FY22.",12,Carbon negative by 2030 > Over 1.4M metric tons of carbon removal,other,,"1,443,981 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we procured 1.44 million metric tons and retired 514,156 metric tons of carbon removal as part of our effort toward achieving our annual carbon commitment to be carbon neutral.",13,Carbon negative by 2030 > Carbon Table 1 Tracking our yearly progress toward carbon negative by 2030,attribute,firm,1.44 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.,13,Carbon negative by 2030 > Learn more in the Environmental Data Fact Sheet,target,,,2030,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Microsoft’s overall emissions decreased by 0.5 percent in FY22.,13,Carbon negative by 2030 > Learn more in the Environmental Data Fact Sheet,other,,0.5 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).",13,Carbon negative by 2030 > Learn more in the Environmental Data Fact Sheet,attribute,,,,,own operations,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Microsoft’s Scope 3 emissions account for more than 96 percent of our total emissions, with the vast majority of these emissions coming from two categories upstream, Purchased Goods and Services (Category 1) and Capital Goods (Category 2), and one downstream, Use of Sold Products (Category 11).",14,Carbon negative by 2030 > Carbon Table 3 Breaking down our FY22 Scope 3 emissions by source,other,,96 percent,,,Scope 3; upstream; downstream,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Scope 3 represents 96 percent of Microsoft’s annual emissions in FY22.,14,Carbon negative by 2030 > Tackling Scope 3,other,,96 percent,,,Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Reducing Scope 3 emissions requires unprecedented scaling of corporate clean energy purchases across Microsoft’s value chain, to address both the electricity consumed by our products, like Xbox devices or Surface laptops, and used to manufacture everything from semiconductors to fiber optic cables.",14,Carbon negative by 2030 > Tackling Scope 3,attribute,,,,,Scope 3; value chain,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Wind farms generate more than 35 percent of Ireland’s electricity.,15,Ensuring energy efficiency > Promoting grid stability via energy storage solutions,other,,35 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"More than 220 miles of piping will distribute 320,000 gallons of water as a heat-exchange medium across the wells and the new campus in a closed loop system.",15,Ensuring energy efficiency > Innovating with thermal energy in our campuses,other,firm,"320,000 gallons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
The system is expected to reduce energy consumption by more than 50 percent of a typical utility plant.,15,Ensuring energy efficiency > Innovating with thermal energy in our campuses,other,,50 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"The decreasing cost of renewable sources, advancement of green hydrogen production technology, and increasing legislative focus are starting to show potential to reduce the datacenter industry’s reliance on fossil-based diesel fuels.",16,Ensuring energy efficiency > Developing hydrogen fuel cells for datacenters,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Microsoft is demonstrating the application of green hydrogen at industrial scales— with a first of its kind, zero emission, 3 MW hydrogen polymer electrolyte membrane (PEM) fuel cell backup power generator piloted in July 2022.",16,Ensuring energy efficiency > Developing hydrogen fuel cells for datacenters,attribute,,3,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"The One Esterra food hall includes 12,200 square feet of all-electric cooking space, which supports more than 1,000 meals a day and uses 100 percent renewable hydro power.",16,Ensuring energy efficiency > Developing hydrogen fuel cells for datacenters,other,,100 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
We use 100 percent carbon-free energy in our first all-electric kitchen on the Redmond campus.,16,Ensuring energy efficiency > Developing hydrogen fuel cells for datacenters,attribute,,100 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We are reducing fossil fuels with our first all-electric kitchen, which uses 100 percent renewable power.",16,Ensuring energy efficiency > Developing hydrogen fuel cells for datacenters,other,firm,100 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"The One Esterra food hall includes 12,200 square feet of all-electric cooking space, which supports more than 1,000 meals a day and uses 100 percent renewable hydro power.",16,Ensuring energy efficiency > Implementing all-electric kitchens,other,,100 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Microsoft’s Scope 3 emissions account for more than 96 percent of our total emissions, with the vast majority of these emissions coming from three categories: Purchased Goods and Services (Category 1), Capital Goods (Category 2), and Use of Sold Products (Category 11).",17,Reducing Scope 3 emissions,other,,96 percent,,,Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Overall, our Scope 3 emissions increased by 0.5 percent in FY22 compared to FY21.",17,Reducing Scope 3 emissions,other,,0.5 percent,,,Scope 3,1.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Just as is the case for Scope 2 reduction efforts, we plan to phase out the use of unbundled RECs in future years as programs to reduce emissions take effect, including substantial forward investments into new clean energy facilities yet to commence operation.",17,Reducing Scope 3 emissions,attribute,hedged,,,,Scope 2,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In July 2022, we updated our Supplier Code of Conduct (SCoC) sustainability requirements to include independent third-party assurance of emissions data and to deliver a minimum 55 percent greenhouse gas (GHG) reduction by 2030.",17,Reducing Scope 3 emissions > Increasing data quality from our supply chain,target,,55 percent,2030,2030,,0.75,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"This year, we piloted a new concrete mix using recycled glass pozzolans, reducing embodied carbon for the slab structure by around half.",18,Reducing emissions by consuming less > Reducing embodied carbon in buildings and interiors,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Our Circular Center program will reuse or recycle 90 percent of datacenter decommissioned cloud computing hardware assets, contributing directly to emissions reductions.",18,Reducing emissions by consuming less > Reimagining circularity of cloud hardware,other,firm,90 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, our cloud hardware designers worked with material and component suppliers to design components that reduced dependency on virgin plastic, introducing up to 35 percent post-consumer recycled (PCR) plastic in select server components.",18,Reducing emissions by consuming less > Engineering carbon out of our cloud operations and hardware supply chain,achievement,achievement,35 percent,,,,0.33,data/raw/microsoft/2022_sustainability_report.pdf,False,False
90% Our Circular Center program will reuse or recycle 90 percent of datacenter decommissioned cloud computing hardware assets.,18,Reducing emissions by consuming less > Boosting efficiency of device usage,other,firm,90%,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"These reductions include 12 suppliers switching to renewable energy, with six converting to 100 percent renewable energy as members of RE100.",19,Reducing emissions by consuming less > Reducing emissions in our devices supply chain,other,,100 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Microsoft is advancing efforts to increase the production of and accounting standards for sustainable aviation fuel (SAF).,19,Reducing emissions by consuming less > Advancing sustainable aviation,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Microsoft worked together with the Environmental Defense Fund to publish the High Integrity Sustainable Aviation Fuel Handbook.,19,Reducing emissions by consuming less > Advancing sustainable aviation,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In parallel to energy reductions and efficiencies, our work supports the growth and adoption of more carbon-free energy.",20,Transitioning to carbon-free energy,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Our long-term vision is to reach a state where, on all the world’s grids, 100 percent of electrons, 100 percent of the time, are generated from zero-carbon sources.",20,Transitioning to carbon-free energy,other,,100 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"On the path to reaching this vision, our commitment is to cover 100 percent of Microsoft’s load with renewable energy purchases by 2025, and by 2030 to ensure that we meet our 100/100/0 commitment, meaning 100 percent of Microsoft’s electricity consumption, 100 percent of the time, will be matched by zero-carbon energy purchases.",20,Transitioning to carbon-free energy,target,firm,100 percent,,2025,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we continued to work with industry-leading partners such as Shell, Constellation, and ENGIE to procure new carbon-free energy resources to meet our goals.",20,Transitioning to carbon-free energy,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"To continue advancing the green energy economy in the United States and in recognition of the opportunity to proactively collaborate on driving a more reliable domestic solar module supply chain, Microsoft is collaborating with Hanwha to increase domestic green energy manufacturing through a first-of-its-kind initiative for major equipment and associated construction services.",20,Transitioning to carbon-free energy,attribute,,,,,supply chain,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By partnering with Hanwha, Microsoft seeks to facilitate quicker adoption of domestic green energy equipment supply through its pipeline of domestic power purchase agreements (PPAs).",20,Transitioning to carbon-free energy,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we signed new power purchase agreements around the globe, bringing our total portfolio of PPAs for carbon-free energy to over 13.5 GW.",20,Transitioning to carbon-free energy,attribute,,13.5,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In addition to carbon-free energy, Microsoft has made commitments to diversity and inclusion, and to racial equity.",20,Committing to environmental justice in carbon-free energy procurement,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"To support environmental justice outcomes in a reimagined energy sector, Microsoft is in its third year of modeling approaches that link our carbon-free energy commitments with community-led clean energy and resiliency projects.",20,Committing to environmental justice in carbon-free energy procurement,attribute,hedged,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Through partnerships, we have established new renewable energy procurement models that create new opportunities for frontline communities by equitably distributing the benefits of the clean energy economy.",20,Committing to environmental justice in carbon-free energy procurement,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By using emissions data to determine where new solar generation can displace the most carbon, Clearloop is collaborating with Microsoft to expand access to clean energy in a state that currently relies on fossil fuels to power nearly 90 percent of its electricity.",20,Committing to environmental justice in carbon-free energy procurement,attribute,,90 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"To support environmental justice outcomes in a reimagined energy sector, Microsoft is in its third year of modeling approaches that link our carbon-free energy commitments with community-led clean energy and resiliency projects.",20,Committing to environmental justice in carbon-free energy procurement,attribute,hedged,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Energy Compacts were introduced in 2021 as a key outcome of the Highlevel Dialogue on Energy, which calls for affordable, reliable, sustainable, and modern energy for all by 2030.",21,Committing to environmental justice in carbon-free energy procurement > Contribution to collective action to decarbonize the electric grid,target,,,,2030,,0.25,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Together, these projects are some of the largest off-grid minigrids operating in Sub-Saharan Africa, eventually benefiting 125,000 people and raising the average electricity rate from three percent to around 20 percent.",21,Committing to environmental justice in carbon-free energy procurement > Other projects,other,,20 percent,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Microsoft links carbon-free energy commitments with community-led clean energy and resiliency projects.,21,Committing to environmental justice in carbon-free energy procurement > Other projects,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In FY22, we contracted 1,443,981 metric tons of carbon removal.",22,2022 projects and results,other,,"1,443,981 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Early in 2022, we signed a small deal with Climate Robotics and we doubleddown in August with a four-year, 75,000 metric ton contract.",23,2022 projects and results > Climate Robotics,other,,"75,000 metric ton",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In September 2022, we signed a deal for 25,000 metric tons of CDR from O.C.O’s mineralization technology, which takes industrial waste (like fly ash) and uses it as the core of manufactured limestone.",23,2022 projects and results > O.C.O Technology,other,,"25,000 metric tons",,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"We renewed our investment in the CommuniTree project in November 2022, signing for 700,000 metric tons in the form of ex ante credits over the next two years, which we project will deliver >100,000 metric tons of ex post verified carbon in 2030 and subsequent years.",23,2022 projects and results > O.C.O Technology,other,firm,"700,000 metric tons",2030,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Microsoft supported the Environmental Defense Fund in developing a handbook which provides expert guidance on using high-integration sustainable aviation fuel.,24,5 Lower embodied carbon in materials needs to be a focus > Sustainable aviation fuel guidance,attribute,,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
3 Forging partnerships: Microsoft cannot achieve carbon negative alone.,25,Scope 3 emissions reduction,attribute,,3,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"5 Advocating for policy: We will propose and endorse public policies that enrich markets, partnerships, and measurement activities, with a focus on “greening the grid,” by further opening the power sector to corporate clean energy purchases and upgrading electric transmission.",25,Scope 3 emissions reduction,attribute,firm,5,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"Our carbon negative commitment is an invitation to the world to participate in this journey, translating ingenuity into action, and action into impact.",25,Scope 3 emissions reduction,attribute,firm,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
Our carbon negative commitment is an invitation to the world to participate in the journey to emissions reductions.,25,Scope 3 emissions reduction,attribute,firm,,,,,0.0,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"In 2020, we made a commitment to be water positive by 2030 and co-founded the Water Resilience Coalition (WRC), an industry-driven, CEO-led coalition of the UN Global Compact CEO Water Mandate to reduce water stress by 2050.",26,Getting to water positive > Our approach,target,firm,"2020,",,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
15.6M In FY22 we contracted replenishment projects that are estimated to provide more than 15.6 million m cubed in volumetric water benefit.,26,Getting to water positive > Our approach,other,,15.6 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
15.6M In FY22 we contracted replenishment projects that are estimated to provide more than 15.6 million m3 in volumetric water benefit.,26,Getting to water positive > Our approach,other,,15.6 million,,,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
"By 2030, we will replenish more water than we consume across our global operations in water-stressed regions where we work.",27,Water positive by 2030 Our commitment > Replenishing more water than we use,target,firm,"2030,",,2030,,0.5,data/raw/microsoft/2022_sustainability_report.pdf,False,False
