sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"The ambition is to achieve net-zero greenhouse gas (GHG) emissions by 2040 and to reduce absolute scope 1, 2 and 31 GHG emissions by 56 percent by 20302.",14,Sales and stores per region > Climate Goals SBTi approved,target,hedged,56 percent,,2040,Scope 1,0.75,data/raw/hm/2022_sustainability_report.pdf,False,False
"We reduced relative water consumption in our supply chain by 38 percent, compared to a 2017 baseline.",15,Sales and stores per region > New Water Strategy 2030,achievement,achievement,38 percent,2017,,supply chain,1.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"Building on this achievement, we launched our Water Strategy 2030, which focuses on absolute water use reduction rather than measuring relative water efficiency, to clearly decouple growth from resource use.",15,Sales and stores per region > New Water Strategy 2030,achievement,achievement,"2030,",,,,0.33,data/raw/hm/2022_sustainability_report.pdf,False,False
"In early 2022, we strengthened this ambition by introducing a goal to double our sales while halving our greenhouse gas (GHG) emissions by 20301.",16,Our overall business idea,target,hedged,"2022,",,2030,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"United by our values, we have an ambition to lead the change towards achieving a circular fashion industry with net-zero climate impact, while being a fair and equal company.",16,Our overall business idea,target,hedged,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
Our brands and business ventures want to enable people all around the world to express themselves through more sustainable fashion and design.,21,Fashion and design,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"The jeans are designed to be used more, made to be made again, and made from safe and recycled or renewable materials.",21,Fashion and design,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"In 2022, we scaled our traceability programme with TextileGenesis™ to several pilots using blockchain technology, such as rolling out a project for all man-made cellulosic fibres and recycled polyester.",22,Fashion and design,attribute,,"2022,",,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
All our brands and business ventures share the same passion for making great and more sustainable fashion and design available to everyone.,24,Our brands and business ventures,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"Monki is a purpose-driven fashion brand that believes in sisterhood, the power of community and in contributing to a more sustainable fashion industry.",26,Our brands and business ventures > H&M Move,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"We test and invest in innovative services that span the whole product lifecycle, including garment rental, second-hand, remake, repairs, alterations, garment collecting for textile reuse and recycling and preferred delivery options1 — all to help customers make wellinformed choices, while creating new revenue streams and supporting the shift to a circular, net-zero fashion industry.",31,Circular customer journeys,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"1) Delivery options emitting less greenhouse gas emissions compared to conventional delivery options, including 100% biofuel, electric and zero emissions vehicles.",31,We focus on three areas within our customer-facing circular business models:,attribute,,100%,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"We also focus on smart design and build, using circular principles to carefully decide on the stores’ interiors — elevating the shopping experience while working to reduce, reuse, repair, recycle and utilise recycled or more sustainably sourced materials.",32,We focus on three areas within our customer-facing circular business models:,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"In 2022, we launched our Water Strategy 2030, developed with input from brands, NGOs, water experts and key suppliers in each region.",38,Customer demand-driven production,achievement,achievement,"2022,",,,,0.33,data/raw/hm/2022_sustainability_report.pdf,False,False
Our goal is for 100 percent of our materials to be either recycled or sourced in a more sustainable way by 2030 (in 2022 we achieved 84 percent).,40,"Towards recycled, regenerative and responsibly sourced materials",target,achievement,100 percent,,2030,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
A milestone toward this goal is to achieve 30 percent recycled materials by 2025.,40,"Towards recycled, regenerative and responsibly sourced materials",target,,30 percent,,2025,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"This is why supporting new recycling technologies is a strategic continuation of our in-store collecting initiative for used garments and home textiles, from any brand and in any condition, to be reused and recycled.",41,"Towards recycled, regenerative and responsibly sourced materials",attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"Our sustainability-linked bond, which was issued in 2021, continues to provide an opportunity for investors to support, among other things, an accelerated transition to recycled materials and reduction of GHG emissions (scope 1, 2 and 3) in our supply chain.",42,"Towards recycled, regenerative and responsibly sourced materials",attribute,hedged,"2021,",,,Scope 1; supply chain,1.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"Our climate goal is to reduce our absolute scope 1, 2 and 31 greenhouse gas emissions (GHG) by 56 percent by 2030, against a 2019 baseline.",42,Reducing greenhouse gas emissions,target,,56 percent,2019,2030,Scope 1,1.0,data/raw/hm/2022_sustainability_report.pdf,False,False
Our long-term goal is to reach net-zero by 2040.,42,Reducing greenhouse gas emissions,target,,,,2040,,0.25,data/raw/hm/2022_sustainability_report.pdf,False,False
"So far, we have invested in more than 20 projects focusing on increasing our share of more sustainable materials and renewable energy, phasing out coal, advancing energy efficiency and enabling carbon removals, where return on investment is measured by GHG emission reductions, not financial gain.",42,Reducing greenhouse gas emissions,attribute,,20,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"In January 2022, we stopped onboarding new supplier factories with on-site coal boilers.",42,Reducing greenhouse gas emissions,achievement,achievement,"2022,",,,,0.33,data/raw/hm/2022_sustainability_report.pdf,False,False
"In support of our overall climate goals, we aim to source 100 percent renewable electricity in both our own operations and our supply chain by 2030.",42,Reducing greenhouse gas emissions,target,hedged,100 percent,,2030,own operations; supply chain,0.75,data/raw/hm/2022_sustainability_report.pdf,False,False
"As part of this, we assess not only our salient human rights issues on an annual basis, but also the long-term risks and impacts for different parts of our operations and value chain — such as what a shift to a net-zero and circular fashion industry could mean for future work across our value chain.",43,Reducing greenhouse gas emissions,attribute,hedged,,,,own operations; value chain,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"One of our goals is to make 100 percent of packaging from recycled or more sustainably sourced materials, with a preference for post-consumer recycled materials.",45,Logistics and distribution,attribute,,100 percent,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"This goes back to our majority owners, the Persson family, having a long-term perspective and genuine interest in how we as a company can contribute to a more sustainable fashion industry.",47,Sustainability – integrated in our business,attribute,hedged,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"By building strategic partnerships with key stakeholders and growing in different innovative ways such as circular business models, we can continue to offer our customers unbeatable value and access to a more sustainable lifestyle, while supporting the transition towards a circular, net-zero fashion industry.",47,Sustainability – integrated in our business,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"Our vision is to lead the change towards achieving a circular fashion industry with net-zero climate impact, while being a fair and equal company.",47,Sustainability – integrated in our business,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"2030: Reduce absolute scope 1, 2 and 31 greenhouse gas (GHG) emissions by 56 percent (baseline 2019).",49,Key sustainability goals,other,,56 percent,,,Scope 1,1.0,data/raw/hm/2022_sustainability_report.pdf,False,False
Achievement 2022: 8 percent reduction in scope 1 and 2 emissions and 7 percent reduction in scope 3 emissions (from 2019 baseline).,49,Key sustainability goals,other,,8 percent,2019,,Scope 1; Scope 3,1.0,data/raw/hm/2022_sustainability_report.pdf,False,False
2030: 100 percent of our materials in commercial goods to be either recycled or other more sustainably sourced materials.,49,Key sustainability goals > Materials and resources,attribute,,100 percent,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
2025: 30 percent of our materials in commercial goods to be certified recycled.,49,Key sustainability goals > Materials and resources,attribute,,30 percent,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"2030: Make 100 percent of packaging from recycled or other more sustainably sourced materials, with a preference for post-consumer recycled materials.",49,Key sustainability goals > Materials and resources,attribute,,100 percent,,,,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"We reduced the relative production water usage by 38 percent, compared to 2017 baseline (driven by a 21% water recycling rate and 21% improvement in relative water efficiency).",49,Key sustainability goals > Materials and resources,achievement,achievement,38 percent,2017,,,0.67,data/raw/hm/2022_sustainability_report.pdf,False,False
"All this will further improve the resilience of our business and supply chain and is crucial for the journey towards a net-zero, circular fashion industry.",51,Innovation and collaboration,attribute,firm,,,,supply chain,0.5,data/raw/hm/2022_sustainability_report.pdf,False,False
"Although all our investments are long-term, they have in a short time created significant value both financially and operationally — for example by improving customer experience and enabling scaling and commercialisation of recycled and more sustainably sourced materials.",51,Innovation and collaboration,attribute,,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
"By engaging with policymakers, we also help shape a legislative environment that will support a more sustainable fashion sector of the future.",52,Innovation and collaboration,attribute,firm,,,,,0.0,data/raw/hm/2022_sustainability_report.pdf,False,False
