sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file,negated,conditional
"In 2022 our engagement on sustainability frame issues with NOJVs focused on net zero operations, methane emissions, biodiversity and human rights, using a variety of approaches including seminars, board resolutions and support for target setting.",16,Our approach: foundations and embedding sustainability > Influencing non-operated joint ventures,target,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"The template provides information on a case’s impact on our net zero aims 1-3, its expected GHG intensity, and significant impacts on, or contribution to, certain aims concerning people and planet.",17,Our approach: foundations and embedding sustainability > Investment governance and evaluating consistency with the Paris goals,attribute,hedged,1,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
Since 2019 bpx’s Permian methane intensity has reduced from over 4% to under 1% and its flaring intensity has dropped from 16% to less than 0.5% in 2022.,18,Reducing emissions,achievement,achievement,4%,,,,0.33,data/raw/bp/2022_sustainability_report.pdf,False,False
"More actively advocate for policies that support net zero, including carbon pricing.",19,Performance and progress Gettingto net zero,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Net zero across the carbon in our upstream oil and gas production by 2050 or sooner.,19,Net zero production,target,,,2050,2050,upstream,0.75,data/raw/bp/2022_sustainability_report.pdf,False,False
"Install methane measurement at all our existing major oil and gas processing sites by 2023, publish the data, and then drive a 50% reduction in methane intensity of our operations.",19,Reducing methane,target,,50%,,2023,own operations,0.75,data/raw/bp/2022_sustainability_report.pdf,False,False
Net zero across our entire operations by 2050 or sooner.,19,Net zero operations,target,,,,2050,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
Net zero across the energy products we sell by 2050 or sooner.,19,Net zero sales,target,,,,2050,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
Incentivize our global workforce to deliver on our aims and mobilize them to become advocates for net zero.,19,Incentivizing employees,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Since we launched our 10 net zero aims in 2020, we have been working to deliver them.",20,Our ambition and aims,attribute,hedged,10,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
For 2030 we are aiming for a 15-20% reduction in the lifecycle carbon intensity of these products (previously >15%).,20,Our ambition and aims > Our net zero targets and aims,other,hedged,20%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"This means we expect to invest more than 40%, or $6-8 billion of our capital expenditure in transition growth engines by 2025 and around 50% by 2030 – or $7-9 billion. y For aim 2 we are now targeting a 10-15% reduction by 2025 (previously 20%) in the emissions associated with the carbon in our upstream oil and gas production and are aiming for 20-30% reduction by 2030 (previously 35-40%).",20,Our ambition and aims > Our net zero targets and aims,target,hedged,40%,2025,2025,upstream,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our destination is unchanged – to be a net zero company by 2050 or sooner, and to help the world get to net zeroa.",20,Our ambition and aims > Our net zero targets and aims,target,,,,2050,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"We are aiming to be net zero across our operations, production and sales.",20,Our ambition and aims > Our net zero targets and aims,attribute,hedged,,,,own operations,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"By setting a path that enables us to make a positive contribution, working to build and participate in many of the new net zero value chains the world will need, our ambition and aims support the world’s progress towards Paris.",20,Getting to net zero: introduction,target,firm,,,,value chain,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"Most of this spend related to investments in biogas, EV charging, offshore wind, power and convenience. i 2025 target has been updated from $3-4 billion (in low carbon activity investment) to $6-8 billion in transition growth investment and 2030 aim has increased from ~$5 billion to $7-9 billion respectively. j Average carbon intensity of our sold energy products.",21,Net zero aims 1-5 update,target,hedged,4 billion,,,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"In a world heading for net zero, we believe that bp is best positioned for success if we are also heading for net zero – working to build and participate in net zero value chains, and using our capabilities to integrate along and across those value chains.",22,Net zero aims 1-5 update,attribute,,,,,value chain,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We believe that our net zero ambition and aims, taken together, set out a path for bp that is consistent with the goals of the Paris Agreement.",22,Net zero aims 1-5 update,target,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We believe that our ambition and our 10 net zero aims need to be considered as a package for Paris consistency.,22,Net zero aims 1-5 update,target,hedged,10,,,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"That is because they combine to set bp’s direction for net zero, supporting society’s drive towards the Paris goals and enabling bp to succeed in a Paris-consistent world.",22,Net zero aims 1-5 update,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our ambition and aims enable us to make a positive contribution to the world meeting the Paris goals and getting to net zero, including in its pursuit of efforts to limit global average temperature rise to 1.5°C above preindustrial levels.",22,Net zero aims 1-5 update,target,hedged,1.5,,,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
It includes three main scenarios – two of which we regard as Parisconsistent (Accelerated and Net Zero scenarios) – that we use to inform our strategy.,22,Net zero aims 1-5 update,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Contributes to net zero There are many ways a company at the heart of the energy sector can make a meaningful contribution to the world getting to net zero.,22,Consistency of our ambition and aims with the Paris goals,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Including our ~$3 billion deal to acquire Archaea Energy – a leading US producer of renewable natural gas.,23,More $ into transition > What we have achieved $4.9bn transition growth investment,other,,3 billion,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We also plan to increase the use of blue and green hydrogen at our refineries, reducing the emissions associated with the use of natural gas and grey hydrogen.",24,Our actions > Carbon capture and storage (CCS) and hydrogen,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our combined Scope 1 and 2 emissions, covered by aim 1 were 31.9MtCO2e – a decrease of 41% from our 2019 baseline of 54.4MtCO2e.",24,Our actions > Portfolio optimization,other,hedged,31.9MtCO2e,2019,,Scope 1,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
The total decrease of almost 22.5MtCO2e includes 16.0MtCO2e attributable to divestments and 4.1MtCO2e in sustainable emission reductions (SERs).,24,Our actions > Portfolio optimization,other,,22.5MtCO2e,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"Compared with 2021 (35.6MtCO2e), Scope 1 and 2 emissions decreased by 10%.",24,Our actions > Portfolio optimization,other,,35.6MtCO2e,2021,,Scope 1,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We have already exceeded our 2025 target of 20% emission reductions against our 2019 baseline.,24,Our actions > Portfolio optimization,achievement,achievement,20%,2019,,,0.67,data/raw/bp/2022_sustainability_report.pdf,False,False
Our aim 1 is to be net zero across our entire operations on an absolute basis by 2050 or sooner.,24,Net zero operations,target,hedged,1,,2050,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
These emissions were 54.4MtCO2e in 2019.,24,Net zero operations,other,,54.4MtCO2e,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We are targeting a 20% reduction in our aim 1 operational emissions by 2025 and will aim for a 50% reduction by 2030 against our 2019 baseline.,24,Net zero operations,target,firm,20%,2019,2025,,0.75,data/raw/bp/2022_sustainability_report.pdf,False,False
"Scope 1 (direct) emissions, covered by aim 1, were 30.4MtCO2e – a decrease of 8% from 33.2MtCO2e in 2021.",25,Net zero operations > Actions driving aim 1 deliverya,other,hedged,30.4MtCO2e,,,Scope 1,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Of these Scope 1 emissions, 29.7MtCO2e were CO2 and 0.7MtCO2e methane.",25,Net zero operations > Actions driving aim 1 deliverya,other,,29.7MtCO2e,,,Scope 1,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Scope 2 (indirect) emissions decreased by 0.9MtCO2e, to 1.5MtCO2e, a 38% reduction compared with 2021.",25,Net zero operations > Actions driving aim 1 deliverya,other,,0.9MtCO2e,2021,,Scope 2,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Operational control boundary broadly covers bp-operated assetsa. bp equity share covers 100% of emissions from subsidiaries and the percentage of emissions equivalent to our share of joint arrangements and associatesb.,25,Net zero operations > bp equity share emissions,other,,100%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
Becoming net zero on an absolute basis across the carbon in our upstream oil and gas production is in part linked to reducing that production.,25,Net zero operations > Portfolio optimization,attribute,,,,,upstream,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We believe that the Scope 3 emissions associated with our upstream oil and gas production will not exceed their 2019 peak and have stated that we are aiming for a reduction in oil and gas production by around 25% by 2030, compared to 2019 (excluding production from Rosneft)c.",25,Net zero operations > Portfolio optimization,target,firm,25%,2019,2030,Scope 3; upstream,1.0,data/raw/bp/2022_sustainability_report.pdf,True,False
Our aim 2 is to be net zero on an absolute basis across the carbon in our upstream oil and gas production by 2050 or sooner.,25,Net zero production,target,hedged,2,2050,2050,upstream,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Since 2019 our estimated Scope 3 emissions covered by aim 2 have reduced by 15% which is at the upper end of our revised 2025 target of a 10-15% reduction against our 2019 baseline.,26,Net zero production,target,hedged,15%,2019,,Scope 3,0.75,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our aim to reduce our oil and gas production from 2019 levels by around 25% by 2030, underpins our 2030 aim of a 20-30% reduction in Scope 3 emissions covered by aim 2 against a 2019 baseline.",26,Net zero production,target,hedged,25%,2019,2030,Scope 3,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our destination is unchanged: we are aiming to be net zero for aim 2 by 2050, or sooner.",26,Net zero production > Our aim 2 pathway,target,hedged,2,,2050,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We expect our pathway to net zero to be finetuned over time, to reflect emerging opportunities and challenges as the world transitions to a better, and more balanced, energy system.",26,Net zero production > Our aim 2 pathway,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
Our aim 3 is to reduce to net zero the carbon intensity of the energy products we sell by 2050 or sooner.,27,Net zero sales,target,hedged,3,,2050,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We are aiming for around 50% of our capital investment to be in our transition growth engines – which includes low carbon activity – in 2030.,27,Net zero sales > Our actions,other,hedged,50%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We anticipate this will primarily be green hydrogen (electrolysis of water using renewable power), while selectively pursuing blue hydrogen (generated from natural gas) opportunities where there is regulatory support and CCS access.",27,Net zero sales > Low carbon energy,attribute,firm,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"As a result of these changes, the energy included under aim 3 for 2019 – our baseline year – has increased from 12.6EJ to 20.9EJ and the emissions have increased from 993MtCO2e to 1,638MtCO2e.",28,Aim 3 update,other,hedged,993MtCO2e,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"This represents a 2% decrease from our 2019 baseline, primarily driven by a reduction in the lifecycle emissions associated with the sold energy products.",28,Aim 3 update,other,,2%,2019,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We are also continuing to invest in activities that contribute to our transition and net zero aims.,28,Aim 3 update,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"We are sometimes asked how our aim 3 relates to the Scope 1, 2 and 3 based approach we use for aim 1 (net zero operations) and aim 2 (net zero production).",28,Full value chain emissions for energy products,attribute,hedged,,,,Scope 1,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
Our methane intensity in 2022 was 0.05% – an improvement from 0.07% in 2021b.,29,Production Transportation Transportation and distribution End use Processing + + + +,other,,0.05%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"Methane emissions from upstream operations, used to calculate our intensity, continued on the declining trend they have followed since 2016 (when we reported 111kt), decreasing by 35% to around 28kt, from 43kt in 2021.",29,Production Transportation Transportation and distribution End use Processing + + + +,other,,35%,2021,,upstream,1.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We continue to progress our work under the World Bank’s Zero Routine Flaring Initiative by 2030 (and by 2025 in our bpx energy operations).,29,Production Transportation Transportation and distribution End use Processing + + + +,target,,,,2030,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our aim 4 is to install methane measurement at all our existing major oil and gas processing sites by 2023, publish the data, and then drive a 50% reduction in methane intensitya of our operations.",29,Reducing methane,target,hedged,50%,,2023,own operations,0.75,data/raw/bp/2022_sustainability_report.pdf,False,False
And we will work to influence our joint ventures to set their own methane intensity targets of 0.2%.,29,Reducing methane,other,firm,0.2%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In October 2022 we announced a significant investment through our ~$3 billion deal to acquire Archaea Energy, a leading US producer of renewable natural gas (RNG).",30,More$ into transition,other,,3 billion,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In addition to operating 50 RNG and landfill gas-to-energy facilities across the US, producing around 6,000boed of RNG today, it has a development pipeline of more than 80 projects with the potential to produce around five times more RNG by 2030.",30,More$ into transition,target,,50,,2030,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"As we pursue our net zero ambition, we see our annual transition growth investment reaching $6-8 billion in 2025 and are aiming for it to reach $7-9 billion in 2030.",30,More$ into transition,target,hedged,8 billion,2025,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"As a result, the proportion of capital expenditure that counts towards our aim 5 2025 target has changed from $3-4 billion in low carbon activity investment, to transition growth investment of $6-8 billion, and our 2030 aim has changed from around $5 billion in low carbon investment, to $7-9 billion of transition growth investment.",30,More$ into transition > Changes to aim 5 reporting basis,target,hedged,4 billion,,,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"Going forward, we aim to build a portfolio, including a global position in offshore wind, in support of green hydrogen, e-fuels, EV charging and power trading, together with continued growth in Lightsource bp.",31,More$ into transition > Renewables and power,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
In 2022 we progressed the Net Zero Teesside and Northern Endurance Partnership projects through the define stage.,31,More$ into transition > Renewables and power,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Both form part of the East Coast Cluster, which aims to remove nearly 50% of all UK industrial cluster CO2 emissions.",31,More$ into transition > Renewables and power,other,hedged,50%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In Western Australia we have acquired a 40.5% interest in the Australian Renwables Energy Hub (AREH), which we will operate.",31,More$ into transition > Renewables and power,other,firm,40.5%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
AREH has the potential to be one of the world’s largest renewables and green hydrogen hubs.,31,More$ into transition > Renewables and power,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Once operational, the renewable power it generates at full scale could be used to produce around 1.6 million tonnes of green hydrogen or 9 million tonnes of green ammonia annually, for use locally and internationally in decarbonizing industries such as mining, shipping and steel.",31,More$ into transition > Renewables and power,attribute,hedged,1.6 million,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In 2022 low carbon activity investment , a subset of our total transition growth investment , accounted for more than 80% of our total aim 5 investment.",31,More$ into transition > Low carbon activity capital expenditure,other,hedged,80%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We anticipate that in 2030 more than 80% of our aim 5 spend will be on low carbon activity .,31,More$ into transition > Low carbon activity capital expenditure,other,firm,80%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We have expanded the sustainability measures in our long-term incentive plan scorecard for group leaders, including linking performance to progress on our aim 1 (net zero operations).",32,Incentivizing employees,attribute,hedged,1,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We advocate for policies that support net zero, incentivize our workforce, assess our alignment with trade associations and help corporates achieve their decarbonization goals.",32,Five aims to help the world get to,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our aim 6 is to more actively advocate for policies that support net zero, including carbon pricing.",33,Five aims to help the world get to,attribute,hedged,6,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In the future, any corporate advertising will be to push for progressive climate policy, communicate our net zero ambition or support delivery of our strategy, invite ideas, or build collaborations.",33,Five aims to help the world get to,target,firm,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
The Climate Action 100+ Net Zero Company Benchmark assessed our Climate Policy Engagement as ‘Aligned’ – on the basis that we take up Paris Agreement-aligned climate lobbying positions.,33,Five aims to help the world get to,attribute,,100,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
Our aim 7 is to incentivize our global workforce to deliver on our aims and mobilize them to become advocates for net zero.,33,Incentivizing employees,attribute,hedged,7,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"To help our employees contribute to the delivery of our strategy and sustainability aims, we are educating them about the importance of net zero, incentivizing them to become advocates and providing the support they need to do so.",33,Incentivizing employees,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"The bonus scorecard against which our eligible employees are measured was updated in 2021 to incentivize them through three themes: safety and sustainability (30%), including our sustainable emissions reductions which makes up 15%, operational performance (20%) and financial performance (50%).",33,Incentivizing employees,other,,30%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
This included explicitly linking performance to progress on our net zero operations aim (aim 1).,33,Incentivizing employees,attribute,hedged,1,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
The summit gave employees the chance to build their advocacy skills and learn more about the importance of net zero.,33,Incentivizing employees > Employee advocacy,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We are committed to getting bp to net zero and we make the case for our views on climate change within the associations we belong to.,34,Aligning associations,attribute,firm,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our voice is one among many, but we believe everyone needs to work together to achieve net zero.",34,Aligning associations,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We pushed for constructive engagement on climate policy proposals throughout 2022.,34,Aligning associations > Working with trade associations on climate issues,target,,,,2022,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
We believe electrification of transport is key to helping the world get to net zero and in 2022 we actively advocated for EV charging policies that will accelerate and simplify the roll-out of EV charging infrastructure.,34,Aligning associations > Working with trade associations on climate issues,attribute,firm,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We have actively participated in the development of carbon and net zero standards and benchmarks.,35,Transparency leader,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Alongside some of our peers, we participated in a pilot of the new Net Zero Standard for Oil & Gas developed by the Institutional Investors Group for Climate Change.",35,Transparency leader,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
This standard is expected to be integrated into updates to the Climate Action 100+ (CA100+) Net Zero Company benchmark.,35,Transparency leader,attribute,,100,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
Our aim 10 is to provide integrated clean energy and mobility solutions.,36,Clean cities and corporates,attribute,hedged,10,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
There is potential to store up to 23 million tonnes of CO2 emissions a year by 2035.,36,Clean cities and corporates > Integrated energy hubs,target,,23 million,,2035,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
In October 2022 we submitted a bid to the UK government’s Hydrogen Business Model and Net Zero Hydrogen Fund.,36,Clean cities and corporates > Integrated energy hubs,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"In addition, we signed four new memorandums of understanding with local industries for the potential use of green hydrogen by businesses and communities.",36,Clean cities and corporates > Integrated energy hubs,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"It could generate up to 860MW of low carbon power. y H2Teesside aims to be one of the UK’s largest blue hydrogen production facilities, targeting 1GW of hydrogen production by 2030.",36,Clean cities and corporates > Integrated energy hubs,target,hedged,,2030,2030,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"In Australia we have taken a 40.5% stake and operatorship in the Australia Renewable Energy Hub (AREH), in the Pilbara region of Western Australia.",36,Clean cities and corporates > Integrated energy hubs,other,,40.5%,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We are aiming for a 20% share of global sustainable aviation fuel (SAF) supply by 2030.,37,Clean cities and corporates > Logistics and transport emissions,target,hedged,20%,,2030,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
We are actively building relationships with organizations that share our priorities to help the world transition to net zero – with a focus on our priority sectors.,37,Clean cities and corporates > Building enduring relationships,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
We actively advocate for policies that support net zero and work with trade associations on key climate issues.,37,Clean cities and corporates > Building enduring relationships,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"We also intend to develop large-scale green hydrogen production hubs in Spain, Portugal and the UK.",37,Clean cities and corporates > Strategic partnerships in Iberia,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Our H2Teesside and HyGreen projects, together with the proposed power and carbon capture project, Net Zero Teesside Power, are expected to support local economic and supply chain development.",38,Reimagining Teesside,attribute,hedged,,,,supply chain,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
Our aim 11 is to develop enough clean energy to benefit more than 36 million people.,40,More clean energy,attribute,hedged,36 million,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"By 2030, we aim to have developed 50GW of renewable generating capacitya – broadly enough to meet the power needs of 36 million peopleb, including exploring ways to make clean energy accessible to those who need it most.",40,More clean energy,target,hedged,36 million,,2030,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"We set a target to have developed 20GW of renewable energy generating capacity to FID by 2025, with an aim of 50GW by 2030.",40,More clean energy > Developing more renewable energy,target,hedged,"2025,",,2025,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"By the end of 2022 we had brought 5.8GW to FID, with 37.2GW in our renewables pipeline.",40,More clean energy > Developing more renewable energy,target,,,,2022,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"This pipeline includes 10.3GW relating to the Australian Renewable Energy Hub renewable power, green hydrogen and ammonia project in Australia and 1.5GW relating to our Morven offshore wind project in Scotland.",40,More clean energy > Developing more renewable energy,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
The projects will play an important role in supporting the UK government’s target to produce sufficient offshore wind energy to power every UK home by 2030.,40,More clean energy > Developing more renewable energy,target,firm,,,2030,,0.25,data/raw/bp/2022_sustainability_report.pdf,False,False
"We reached an agreement with C-Quest Capital (CQC) to support the growth of its operations in India, where it is implementing projects focused on reducing carbon emissions and on giving Indian families access to sustainable energy services and clean energy technologies.",40,More clean energy > Access and affordability programmes,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
One of the activities we are supporting through this partnership is a carbon offset project that aims to distribute up to 50 million efficient LED lightbulbs to Indian families living in poor rural areas.,40,More clean energy > Access and affordability programmes,other,hedged,50 million,,,,0.5,data/raw/bp/2022_sustainability_report.pdf,False,False
"These CQC projects are designed to support several UN Sustainable Development Goals, including improved health, gender equality and affordable and clean energy.",40,More clean energy > Access and affordability programmes,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"We are focused on supporting community regeneration and resilience, skills development for a just transition, and education about clean energy.",41,More clean energy > Just transition for local communities,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"We are also supporting skills development through the Aberdeen Hydrogen Hub, a joint venture with Aberdeen City Council to help achieve its vision of scalable green hydrogen production, storage and distribution infrastructure in the city, powered by renewable energy.",41,More clean energy > Just transition for local communities,attribute,,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
"Outside the UK we have sponsored the training company Shams Global Solutions to develop Oman’s first solar training facility; and in the US we have launched a clean energy community grant programme with Equinor and other partners, to support workforce development linked to New York City’s emerging offshore wind ecosystem.",41,More clean energy > Just transition for local communities,attribute,hedged,,,,,0.0,data/raw/bp/2022_sustainability_report.pdf,False,False
