year,metric,value,unit,scope,source,page
2024,avg_carbon_intensity_sold_energy,79,gCO2e/MJ,lifecycle basis vs 2019 baseline,bp/2025_sustainability_report.pdf,16
2025,avg_carbon_intensity_sold_energy,79,gCO2e/MJ,lifecycle basis vs 2019 baseline,bp/2025_sustainability_report.pdf,16
2023,total_emissions,32.1,MtCO2e,Scope 1+2 operational control basis,bp/2023_sustainability_report.pdf,22
2019,avg_carbon_intensity_sold_energy,79,gCO2e/MJ,lifecycle basis vs 2019 baseline; pre-2024 methodology,bp/2023_sustainability_report.pdf,25
2020,avg_carbon_intensity_sold_energy,77,gCO2e/MJ,lifecycle basis vs 2019 baseline; pre-2024 methodology,bp/2023_sustainability_report.pdf,25
2021,avg_carbon_intensity_sold_energy,78,gCO2e/MJ,lifecycle basis vs 2019 baseline; pre-2024 methodology,bp/2023_sustainability_report.pdf,25
2022,avg_carbon_intensity_sold_energy,77,gCO2e/MJ,lifecycle basis vs 2019 baseline; pre-2024 methodology,bp/2023_sustainability_report.pdf,25
2023,avg_carbon_intensity_sold_energy,77,gCO2e/MJ,lifecycle basis vs 2019 baseline; pre-2024 methodology,bp/2023_sustainability_report.pdf,25
2025,target_scope_1_2_reduction,20,%,aim 1 interim target vs 2019 baseline,bp/2023_sustainability_report.pdf,21
2030,target_scope_1_2_reduction,50,%,aim 1 2030 aim vs 2019 baseline,bp/2023_sustainability_report.pdf,21
2025,target_scope_3_reduction,10,%,aim 2 interim target; stated range 10-15% vs 2019 baseline,bp/2023_sustainability_report.pdf,21
2030,target_scope_3_reduction,20,%,aim 2 2030 aim; stated range 20-30% vs 2019 baseline,bp/2023_sustainability_report.pdf,21
2025,target_carbon_intensity_reduction,5,%,aim 3 interim target vs 2019 baseline,bp/2023_sustainability_report.pdf,21
2030,target_carbon_intensity_reduction,15,%,aim 3 2030 aim; stated range 15-20% vs 2019 baseline,bp/2023_sustainability_report.pdf,21
2025,target_scope_1_2_reduction,20,%,net zero operations interim target vs 2019 baseline,bp/2024_sustainability_report.pdf,27
2030,target_scope_1_2_reduction,45,%,net zero operations 2030 aim; stated range 45-50%,bp/2024_sustainability_report.pdf,27
2025,target_carbon_intensity_reduction,5,%,net zero sales interim target vs 2019 baseline,bp/2024_sustainability_report.pdf,27
2030,target_carbon_intensity_reduction,8,%,net zero sales 2030 aim; stated range 8-10%,bp/2024_sustainability_report.pdf,27
2025,target_scope_1_2_reduction,20,%,net zero operations interim target vs 2019 baseline,bp/2025_sustainability_report.pdf,11
2030,target_scope_1_2_reduction,45,%,net zero operations 2030 aim; stated range 45-50%,bp/2025_sustainability_report.pdf,11
2025,target_carbon_intensity_reduction,5,%,net zero sales interim target vs 2019 baseline,bp/2025_sustainability_report.pdf,11
2030,target_carbon_intensity_reduction,8,%,net zero sales 2030 aim; stated range 8-10%,bp/2025_sustainability_report.pdf,11
