year,metric,value,unit,scope,source,page
2023,scope_1_emissions,14.22,MMT CO2e,direct operations,amazon/2024_sustainability_report.pdf,50
2024,scope_1_emissions,15.13,MMT CO2e,direct operations,amazon/2024_sustainability_report.pdf,50
2019,scope_2_emissions_market_based,5.50,MMT CO2e,purchased electricity; market-based,amazon/2024_sustainability_report.pdf,50
2020,scope_2_emissions_market_based,5.27,MMT CO2e,purchased electricity; market-based,amazon/2024_sustainability_report.pdf,50
2021,scope_2_emissions_market_based,4.07,MMT CO2e,purchased electricity; market-based,amazon/2024_sustainability_report.pdf,50
2022,scope_2_emissions_market_based,3.06,MMT CO2e,purchased electricity; market-based,amazon/2024_sustainability_report.pdf,50
2023,scope_2_emissions_market_based,2.76,MMT CO2e,purchased electricity; market-based,amazon/2024_sustainability_report.pdf,50
2024,scope_2_emissions_market_based,2.80,MMT CO2e,purchased electricity; market-based,amazon/2024_sustainability_report.pdf,50
2019,scope_3_emissions,39.91,MMT CO2e,indirect sources; market-based,amazon/2024_sustainability_report.pdf,50
2020,scope_3_emissions,45.75,MMT CO2e,indirect sources; market-based,amazon/2024_sustainability_report.pdf,50
2021,scope_3_emissions,55.36,MMT CO2e,indirect sources; market-based,amazon/2024_sustainability_report.pdf,50
2022,scope_3_emissions,49.02,MMT CO2e,indirect sources; market-based,amazon/2024_sustainability_report.pdf,50
2023,scope_3_emissions,47.40,MMT CO2e,indirect sources; market-based,amazon/2024_sustainability_report.pdf,50
2024,scope_3_emissions,50.32,MMT CO2e,indirect sources; market-based,amazon/2024_sustainability_report.pdf,50
2019,total_emissions,51.17,MMT CO2e,total carbon footprint,amazon/2024_sustainability_report.pdf,50
2020,total_emissions,60.64,MMT CO2e,total carbon footprint,amazon/2024_sustainability_report.pdf,50
2021,total_emissions,71.54,MMT CO2e,total carbon footprint,amazon/2024_sustainability_report.pdf,50
2022,total_emissions,65.10,MMT CO2e,total carbon footprint,amazon/2024_sustainability_report.pdf,50
2023,total_emissions,64.38,MMT CO2e,total carbon footprint,amazon/2024_sustainability_report.pdf,50
2024,total_emissions,68.25,MMT CO2e,total carbon footprint,amazon/2024_sustainability_report.pdf,50
2019,carbon_intensity_per_gms,122.8,g CO2e per $ of gross merchandise sales,superseded by per-revenue intensity in 2025 report,amazon/2024_sustainability_report.pdf,50
2020,carbon_intensity_per_gms,102.7,g CO2e per $ of gross merchandise sales,superseded by per-revenue intensity in 2025 report,amazon/2024_sustainability_report.pdf,50
2021,carbon_intensity_per_gms,100.8,g CO2e per $ of gross merchandise sales,superseded by per-revenue intensity in 2025 report,amazon/2024_sustainability_report.pdf,50
2022,carbon_intensity_per_gms,85.7,g CO2e per $ of gross merchandise sales,superseded by per-revenue intensity in 2025 report,amazon/2024_sustainability_report.pdf,50
2023,carbon_intensity_per_gms,75.6,g CO2e per $ of gross merchandise sales,superseded by per-revenue intensity in 2025 report,amazon/2024_sustainability_report.pdf,50
2024,carbon_intensity_per_gms,72.6,g CO2e per $ of gross merchandise sales,superseded by per-revenue intensity in 2025 report,amazon/2024_sustainability_report.pdf,50
