sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
We are committed to reaching net-zero carbon emissions in the next 17 years.,11,Our Approach for Net-Zero Carbon Emissions by 2040,attribute,firm,17,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Our carbon intensity decreased by 7% from 2021 to 2022, and by 24% since 2019.",12,Amazon’s Carbon Footprint,other,,7%,2021,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, Scope 1 emissions grew by 11% year-overyear.",12,Decarbonizing Delivery and Logistics,other,,11%,,,Scope 1,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In fact, since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average and avoided more than 2 million tons of packaging material.",12,Decarbonizing Delivery and Logistics,achievement,achievement,41%,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"The trucks can weigh up to 40 metric tons, so the transition relies on the rollout of largescale charging infrastructure, which also often requires the overhaul of local electricity grids.",12,Decarbonizing Delivery and Logistics,other,,40 metric tons,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We already have more than 15,000 hydrogen-powered forklifts operating at more than 70 fulfillment centers in North America, and in 2022, we signed a deal for enough green hydrogen (which is generated by renewable or low-carbon power) to fuel 40,000 forklifts annually by 2025.",12,Decarbonizing Delivery and Logistics,target,,"15,000",,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"This is because the net-zero technologies required to move large volumes of goods over long distances by sea and air do not yet exist at scale, nor do the supporting infrastructure or accounting frameworks.",12,Decarbonizing Delivery and Logistics > Learn more about our carbon methodology,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Already, policymakers are encouraging the infrastructure transformation needed to support a new generation of net-zero transportation through measures like the Bipartisan Infrastructure Law and Inflation Reduction Act in the U.S., and the European Commission’s Green Deal Industrial Plan, which incentivize investment in clean energy.",13,Decarbonizing Delivery and Logistics > Driving Climate Solutions Carbon,attribute,hedged,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"We are proud that our investments in renewable energy, used to power our operations, have resulted in a 29% drop in carbon emissions from purchased electricity (Scope 2).",13,Investing in Renewables,other,,29%,,,Scope 2; own operations,1.0,data/raw/amazon/2022_sustainability_report.pdf
This now accounts for less than 5% of our total reported carbon footprint.,13,Investing in Renewables,other,,5%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, 90% of electricity consumed by Amazon was attributable to renewable energy sources, and we remain on a path to reach 100% by 2025.",13,Investing in Renewables,target,,90%,,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Additionally, in 2022, The Climate Pledge Fund invested in Electric Hydrogen and Sunfire, two promising U.S.- and Europe-based developers of electrolyzers, which convert water into green hydrogen—an energy source that can be stored for future use.",13,Investing in Renewables,target,firm,"2022,",,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, Scope 3 emissions went down by 0.7%, despite our year-over-year growth.",13,Reducing Our Scope 3 Emissions,other,,0.7%,,,Scope 3,1.0,data/raw/amazon/2022_sustainability_report.pdf
"Given our success as the world’s largest corporate purchaser of renewable energy, we will seek to help select suppliers transition to carbon-free electricity.",13,Reducing Our Scope 3 Emissions,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"We remain focused on reaching net-zero carbon by 2040, a focus we have maintained since we first announced The Climate Pledge in 2019.",13,The Road to 2040,target,firm,"2040,",2040,2040,,0.75,data/raw/amazon/2022_sustainability_report.pdf
Turbines generate clean electricity at a utility-scale Amazon wind farm.,13,The Road to 2040,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
The Climate Pledge is a commitment to reach net-zero carbon emissions by 2040.,14,The Climate Pledge,target,firm,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Amazon co-founded The Climate Pledge with Global Optimism in 2019 and became the first company to sign on.,14,The Climate Pledge,target,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"While each company will take its own path to net zero, signing The Climate Pledge reinforces their commitment to sustainability.",14,The Climate Pledge,target,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022 alone, 111 companies signed The Climate Pledge.",14,Employees $3.68T,target,firm,111,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
The Climate Pledge Fund is a $2 billion venture investment program supporting the advancement of sustainable technologies and services that will enable Amazon to meet our net-zero carbon goal.,14,The Climate Pledge Fund,target,firm,2 billion,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, The Climate Pledge Fund continued its mission to support companies working on promising decarbonization solutions.",14,The Climate Pledge Fund,target,firm,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We made new investments in seven companies: Electric Hydrogen, Sunfire, and Verne, which are developing green hydrogen production and storage methods;2 Moxion Power and Ambient Photonics, which are advancing cleaner energy storage; and Brimstone and Electra, which are working to decarbonize construction.",14,The Climate Pledge Fund,attribute,,2,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Women-founded companies typically receive a fraction of the total venture capital flowing into climate tech startups.3 In November 2022, Amazon made a $53 million commitment to help address this gender inequity.",14,Equitably Scaling Climate Tech Solutions,other,firm,53 million,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We are also investing in future solutions, like green steel7 for manufacturing vehicles, as well as renewably generated green hydrogen.",16,Middle Mile,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"This partnership will supply Amazon with 10,950 tons of green hydrogen per year—enough to power 40,000 forklifts annually—for transportation and building operations, starting in 2025.",16,Middle Mile,attribute,firm,"10,950",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we announced plans to invest over €1 billion to double our European zero-emissions fleet for middle and last mile deliveries over the next five years.",16,Last Mile,attribute,,1 billion,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Amazon is also playing an active role in several industry initiatives and government partnerships, including the coZEV network, the First Movers Coalition, and the Clean Energy Demand Initiative.",17,Partnering for Decarbonized Transportation,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"However, SAF represents less than 0.1% of global aviation fuel, because it is still cost prohibitive for most companies.8 During the 2022 United Nations Climate Change Conference (COP27), SABA announced a digital SAF certificate registry that aims to increase transparency for emissions-reduction claims and accelerate SAF deployment.",17,Partnering for Decarbonized Transportation,other,hedged,0.1%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In early 2023, we co-founded the Zero Emission Maritime Buyers Alliance (ZEMBA) together with the Aspen Institute, Patagonia, and Tchibo.",17,Partnering for Decarbonized Transportation,attribute,,"2023,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Through ZEMBA, freight buyers will accelerate commercial deployment of zero-emission shipping, enable economies of scale, and minimize maritime emissions, helping to get zero-emission ships on the water by the mid-2020s.",17,Partnering for Decarbonized Transportation,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"By May 2022, Whole Foods Market improved energy efficiency performance by 21% from a 2010 baseline, achieving the U.S.",18,Physical Stores > Driving Climate Solutions Carbon,other,hedged,21%,2010,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Amazon Fresh stores in the U.S. and EU also made strides on energy efficiency throughout 2022, using efficient lighting as standard in all buildings and expanding the use of doors on instore refrigerated cases.",18,Physical Stores > Driving Climate Solutions Carbon,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, we partnered with various organizations to improve embodied carbon reporting.",18,Physical Stores > Addressing Hard-to-Abate Carbon Emissions,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Through lighting retrofits, we have saved 1 billion kilowatt-hours (kWh) of energy and avoided 709,000 metric tons of CO2e over the last seven years.",18,"Fulfillment, Logistics, and Distribution Centers > Learn more about our renewable energy progress",achievement,achievement,1 billion,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"The building is solar-ready and designed to have a rooftop solar array that can potentially generate as much as 80% of the facility’s annual electricity needs, with the remaining balance to be supported by Amazon’s off-site renewable energy projects.",19,"Fulfillment, Logistics, and Distribution Centers > Making History with the World’s First ILFI Zero Carbon Certified Fulfillment Center",other,,80%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Our third-generation Arm-based chip, AWS Graviton3, is more energy-efficient, as Graviton3-based Elastic Compute Cloud instances use up to 60% less energy for the same performance than comparable Amazon EC2 instances.",19,Amazon Web Services,other,,60%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"This, in turn, means building new models requires less money and power, with potential cost savings of up to 62% and energy-consumption reductions of up to 29%, versus comparable instances.",19,Amazon Web Services,other,,62%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Our Inferentia machine learning chip is up to 54% more energy-efficient and can reduce costs by up to 90% against comparable instances.,19,Amazon Web Services,other,,54%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
The concrete mix reduces carbon emissions by nearly 40% compared to standard concrete.,20,Amazon Web Services > Driving Climate Solutions Carbon,other,,40%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Globally in 2022, we completed the construction of 16 data centers using lower-carbon concrete and 10 data centers using lower-carbon steel.",20,Amazon Web Services > Driving Climate Solutions Carbon,achievement,achievement,"2022,",,,global,0.67,data/raw/amazon/2022_sustainability_report.pdf
"The Intergovernmental Panel on Climate Change (IPCC) has made clear that significant carbon emissions from several sectors of the economy will not be fully abated by 2050.14 Even with aggressive decarbonization efforts, many companies will need to neutralize some GHG emissions that cannot be eliminated to achieve net-zero carbon.",20,Carbon Neutralization,target,firm,2050.14,,2050,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Carbon neutralization represents an opportunity for us to help reduce emissions and stabilize our changing climate.,20,Carbon Neutralization,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2021, Amazon helped create the Lowering Emissions by Accelerating Forest finance (LEAF) Coalition, which has mobilized over $1 billion in corporate and government finance to protect tropical rainforests around the world.",20,Protecting the World’s Tropical Rainforests,other,,1 billion,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"This includes policies that advance zero-emission fuels, scale clean energy, modernize the grid, and invest in new technologies needed across multiple industries.",21,Decarbonizing Through Policy,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"To meet our net-zero carbon goal, we engage suppliers in our global product and device supply chains to set goals that support decarbonizing their own operations and work with them on initiatives to reduce their GHG emissions.",21,Engaging Suppliers that Make Amazon Products,target,hedged,,,,own operations; supply chain,0.25,data/raw/amazon/2022_sustainability_report.pdf
"We will also use our scale, investment, and innovation to date to provide our suppliers with products and tools that will help them reach their goals—whether that’s transitioning to renewable energy or having more access to sustainable materials.",21,Engaging Suppliers that Make Amazon Products,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Reaching net-zero carbon emissions by 2040 won’t be easy, and we know we can only get there with significant collaboration.",21,Looking Forward,target,,,2040,2040,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"With 401 renewable energy projects representing over 20 gigawatts (GW) of clean energy capacity announced as of January 2023, Amazon is the world’s largest corporate purchaser of renewable energy for the third year in a row.",22,Renewable Energy,attribute,,401,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We are also on a path to powering our operations with 100% renewable energy by 2025—five years ahead of our original 2030 target—and we are asking our suppliers to switch to renewable energy as well.,22,Renewable Energy,target,,100%,,2025,own operations,0.75,data/raw/amazon/2022_sustainability_report.pdf
"To reach this target, we want 100% of the electricity that we use to be attributable to renewable energy sources.",22,Renewable Energy,other,,100%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"To achieve our renewable energy goal, we aim for 100% of the electricity we use to be attributable to renewable electricity sources.",23,Our Approach,target,hedged,100%,,,,0.25,data/raw/amazon/2022_sustainability_report.pdf
We contract renewable power from utility-scale wind and solar projects that add clean energy to the grid.,23,Our Approach,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, 90% of electricity consumed by Amazon was attributable to renewable energy sources, up from 85% in 2021.",23,Scaling Renewable Energy,other,,90%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We grew our renewables portfolio to over 20 GW of clean energy capacity, a 67% increase from our global 2021 portfolio of just over 12 GW.",23,Scaling Renewable Energy,attribute,,67%,2021,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Once operational, these contracted renewable energy projects will account for 56,881 gigawatt-hours (GWh) of Amazon’s electricity use, enough to power 5.3 million U.S. homes annually.",23,Scaling Renewable Energy,other,firm,5.3 million,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"As a part of our broader commitment to power our operations with 100% renewable energy, we continue to scale up our use of renewable electricity within AWS.",23,Scaling Renewable Energy,other,firm,100%,,,own operations,1.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, the electricity consumed in the following 19 AWS regions was attributable to 100% renewable energy: U.S.",23,Scaling Renewable Energy,other,,100%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In October 2022, we opened our first stand-alone Australian sort center in Melbourne, which features 3,078 on-site solar panels with capacity to meet up to 80% of the site’s electricity needs.",23,On-Site Solar Projects,other,,80%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Five projects in Europe—two solar farms in Spain and Italy and three wind farms in Sweden and the UK—went live and together are expected to generate 1,980,000 MWh annually.",24,Newly Operational and Announced Projects,other,,"1,980,000 MWh",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Two projects in China, one wind farm and one solar farm, also launched and are expected to produce 450,500 MWh annually.",24,Newly Operational and Announced Projects,achievement,achievement,"450,500 MWh",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
We invest in energy storage to collect and save clean energy for use when renewable energy sources are unavailable—such as at night or during periods of high demand—and to provide grid stability.,24,Energy Storage Solutions,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"During 2022, we launched solar projects paired with battery storage capabilities in Arizona and California.",24,Energy Storage Solutions,achievement,achievement,"2022,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
We are looking to increasingly pair renewable generators with storage to provide near 24/7 carbon-free electricity on grids with significant solar.,24,Energy Storage Solutions,attribute,,24,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"As the world’s largest corporate renewable energy purchaser, we have a unique role to play in supporting a just, equitable, and sustainable clean energy transition.",24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In May 2022, Amazon became a founding member of Beyond the Megawatt—an initiative by the Clean Energy Buyers Institute (CEBI) to maximize the environmental and social benefits of the clean energy transition.",24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,hedged,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
The development of industrywide procurement standards to promote social impact and human rights within clean energy buying is critical to this partnership.,24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
A global clean energy transition will also require increased supplies of minerals that power more-sustainable technologies.,24,Energy Storage Solutions > Supporting a Just Clean Energy Transition,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2022, we expanded AWS’ machine learning solution, renewable energy optimization (REO), to improve the performance of our renewable portfolio.",25,Energy Optimization,target,,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
REO prioritizes delivery of clean energy where it’s needed most.,25,Energy Optimization,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"By 2025, we expect technologies like this could deliver additional clean energy equivalent to a 200-MW wind farm when deployed across Amazon’s portfolio.",25,Energy Optimization,target,hedged,"2025,",,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"We also set a goal to invest in wind and solar farm capacity equal to the energy used by all Echo, Fire TV, and Ring devices worldwide by 2025.",25,Energy Optimization for Amazon Devices,target,,,,2025,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"Combined, this means faster, more cost-effective deployment of clean energy.",25,Advocating for Renewable Energy Solutions,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Throughout 2023, we will identify new technologies that accelerate renewable energy deployment and, ultimately, help us achieve our net-zero carbon emissions goal.",25,Looking Forward,target,firm,"2023,",,2023,,0.5,data/raw/amazon/2022_sustainability_report.pdf
An Amazon fulfillment associate processes an order using a curbside recyclable box.,26,Looking Forward > Reducing Packaging and Waste Packaging,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Our customers want right-sized, easily recyclable packaging that minimizes waste and ensures damage-free delivery.",27,Our Approach,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"This represents an 11.6% decrease from 97,222 metric tons in 2021.17 This decrease also contributed to a 17.1% decrease in average plastic packaging weight per shipment in 2022 across our global operations network, building on the over 7% reduction achieved in 2021.",29,Prioritizing Recyclability and Carbon Impact,achievement,achievement,11.6%,2021,,,0.67,data/raw/amazon/2022_sustainability_report.pdf
We are phasing out padded bags containing plastics in favor of recyclable alternatives.,29,Prioritizing Recyclability and Carbon Impact,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"During 2022, we expanded recyclable paper padded bag use across the U.S. and Canada, replacing 99% of harder-to-recycle padded bags that contain both plastic and paper.",29,Prioritizing Recyclability and Carbon Impact,attribute,,99%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
We eliminated single-use plastic delivery bags for orders shipped from European fulfillment centers and replaced them with curbside-recyclable alternatives.,29,Prioritizing Recyclability and Carbon Impact,attribute,achievement,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
We also eliminated single-use air pillows in Europe and Australia and replaced them with curbside-recyclable paper material.,29,Prioritizing Recyclability and Carbon Impact,attribute,achievement,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Today, approximately 92% of packaging material weight in the U.S. and Canada—excluding produce bags and coolants—is curbside recyclable where programs are available.",29,Prioritizing Recyclability and Carbon Impact,attribute,,92%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
All EU one-way delivery packaging—excluding coolants—is also curbside recyclable.,29,Prioritizing Recyclability and Carbon Impact,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Department of Energy’s BOTTLE18 consortium, led by the National Renewable Energy Laboratory (NREL), to develop technology that will enable bio-based and biodegradable plastic recycling.",29,Partnering to Scale,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"We have made notable progress to date and, as we move through 2023 and beyond, we will seek to continue eliminating packaging through SIOC, reduce waste through automation and right-sizing, and select recyclable materials where possible.",29,Looking Forward,target,firm,,,2023,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"Additionally, in 2022, we launched a centralized waste-collection initiative across select corporate buildings in the U.S. to replace desk-side bins with communal alternatives, which is expected to increase waste diversion by 16%.",32,Noninventory Materials Management,achievement,achievement,16%,,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"We focus on eliminating excess materials such as steel or plastic, increasing recycled and bio-based content, and planning for repair, reuse, and recycling from the start.",32,AWS Waste Reduction Through Reverse Logistics,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"Amazon’s recyclable, paper-based packaging helps our customers divert waste from landfill.",33,Construction and Demolition Waste > Customer Waste,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2021, we launched a Zero Waste to Landfill program with 10 device supplier sites; in 2022, we expanded it to certify all China-based final assembly sites that manufacture our most popular Echo, Kindle, Fire tablet, and Fire TV devices.",34,Supply Chain Waste,achievement,achievement,"2021,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, 12 new sites were certified, bringing our total number of certified supplier sites to 22 at the end of 2022, all of which have achieved UL’s Zero Waste to Landfill certification at Silver or better.",34,Supply Chain Waste,achievement,achievement,"2022,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"Access to water is a fundamental human right, but the United Nations (UN) estimates that by 2050, 52% of the global population will live in water-stressed areas.22 This poses potential health and economic risks for Amazon’s employees, customers, communities, and business.",35,Looking Forward > Protecting Natural ResourcesWater,target,firm,52%,,2050,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Goal Amazon Web Services (AWS) has committed to being water positive by 2030.,35,Looking Forward > Protecting Natural ResourcesWater,target,firm,,,2030,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"For example, AWS has a goal to be water positive by 2030 through increasing water availability at and around operational sites.",36,Our Approach,target,,,,2030,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"We will achieve this by improving efficiency, using moresustainable sources such as recycled water, returning water for community reuse, and supporting replenishment projects.",36,Our Approach,attribute,firm,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"We seek to reduce potable water consumption where possible, relying on alternatives like recycled water and rainwater harvesting.",36,Using More-Sustainable Water Sources,attribute,hedged,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"As of 2022, 20 data centers use recycled wastewater in cooling systems—16 in Virginia, two in California, and two in Singapore.",36,Using More-Sustainable Water Sources,attribute,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In several regions, we partner with community stakeholders to expand recycled water infrastructure.",36,Using More-Sustainable Water Sources,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, we worked with local government and water utilities in Loudoun County, Virginia, to expand the infrastructure network that delivers recycled water to the community.",36,Using More-Sustainable Water Sources,attribute,,"2022,",,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"In 2022, AWS completed projects with Water.org and WaterAid to provide clean water and sanitation to over 290,000 people across India and Indonesia.",36,Investing in Water Replenishment,achievement,achievement,"2022,",,,,0.33,data/raw/amazon/2022_sustainability_report.pdf
"In addition to supporting the creation of the Fund, Amazon’s $10 million planned contribution will directly empower 1 million people with water access by 2025.",36,Investing in Water Replenishment,target,firm,10 million,,2025,,0.5,data/raw/amazon/2022_sustainability_report.pdf
This will provide 3 billion liters of water in water-scarce areas annually and represents one of the largest private investment portfolios in water and climate to date.,36,Investing in Water Replenishment,other,firm,3 billion,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"Adam Selipsky, CEO of AWS, at the 2022 re:Invent conference where AWS announced its goal to be water positive by 2030.",37,"Operations, Physical Stores, and Offices",target,,,,2030,,0.25,data/raw/amazon/2022_sustainability_report.pdf
"By the end of 2022, 38 Whole Foods Market stores installed a new defrosting system that recycles meltwater instead of allowing it to run down the drain.",37,Physical Stores,target,achievement,"2022,",,2022,,0.5,data/raw/amazon/2022_sustainability_report.pdf
This new system can reduce up to 98.5% of water use associated with defrosting.,37,Physical Stores,other,,98.5%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
Amazon set new standards for construction design in the U.S. to reduce indoor water use by 40% versus a Leadership in Energy and Environmental Design (LEED) baseline.,37,Corporate Offices,other,,40%,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"The recycling systems in Met Park alone are designed to save over 8.2 million gallons of water annually, while groundwater heat exchange will reduce annual cooling tower water usage by 720,000 gallons.",37,Corporate Offices,other,firm,8.2 million,,,,0.5,data/raw/amazon/2022_sustainability_report.pdf
"The terrace gardens at our headquarters in Arlington, Virginia, feature recycled greywater systems for irrigation.",37,Looking Forward,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
"To ensure better standards for cotton more widely, we continue to sponsor and participate in the Responsible Sourcing Network’s due diligence initiative, YESS (Yarn Ethically & Sustainably Sourced), to identify and address forced labor in cotton production.",49,Our Approach,attribute,,,,,,0.0,data/raw/amazon/2022_sustainability_report.pdf
Amazon and Whole Foods Market fresh and frozen beef sourced from regions with low deforestation risk or with full supply chain traceability in our Grocery Private Brands in North America and Europe by the end of 2025.,50,Materials and Agricultural Commodities Sourcing > Goal or Ambition Progress In-Scope Product Categories,target,,,,2025,supply chain,0.5,data/raw/amazon/2022_sustainability_report.pdf
